id_Questionaire,id,gender,yearOfBirth,ageAtDeath,yearsSinceDeath,yearOfDeath,maritalStatus,relationToRespondent,relationOther,orderOfBirth,residentOfRespondentHousehold,location,laborMigrantNow,laborMigrantPast,spouseLaborMigrantNow,spouseLaborMigrantPast,numberOfSons,numberOfDaughters,educationMedium,education,educationOfSpouse,mainOccupation,otherOccupation1,otherOccupation2,otherOccupationNote,ageBeganWorkingFullTime,incomeTotalMonthly,incomeYearlyCrops,incomeMonthlyRentsInvestments,incomeMonthlyPension,remittance,incomeMonthlyRemittance,mainOccupationSpouse,unmarried,marriageMadeArranged,marriageMadeArrangedLove,marriageMadeLove,marriageMadeRegistry,marriageMadeOther,kabinAmount,kabinStatus,kabinPaidTaka,kabinPaidJewelry,kabinPaidLand,kabinPaidOther,kabinPaidNA,kabinPaidMarriageAt,kabinPaidMarriageAfter,kabinPaidMarriageNA,weddingExpenses
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,01BE540B-BA1B-5A40-89CF-50FF02839B8F,F,31,,,,2,Child,,3,,3,,,1,1,0,2,1,10,09,18,,,,,,,,,Yes,30000,10,,1,,,,,0,Partly Paid,,,,1,,1,,,bride
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,30C82A41-7190-E640-97F6-BB016D5E2F0B,F,1953,,,,4,Respondent,,,1,1,,,,,,,0,00,,18,,,,,,,,,No,,,,1,,,,,0,Not Paid,,,,,1,,,1,bride
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,34CEE659-B1E1-6E4C-B0E5-200B6F1C6D9E,M,1949,,,2017,2,Husband,,,,,,1,,,,,1,02,,1,,,dead,0,0,,,,NA,,,,,,,,,,,,,,,,,,,
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,38F7F17B-2743-D042-BE4E-915D161713EF,M,42,,,,2,Child,,1,,4,1,1,,,1,1,1,14,DK,10,,,,25,0,,,,No,,18,,,1,,,,0,Partly Paid,,,,1,,1,,,equal
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,72A6730A-B93E-274E-BCE8-5C9B912CFC60,M,1981,,,,2,Child,,2,1,1,,,,,1,0,1,16,12,10,,,,29,0,,,,No,,18,,1,,,,,300000,Partly Paid,,,,1,,1,,,equal
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,79B643C0-BFFD-1443-817E-1EEEB7A0C7AB,F,6.051995,,,,2,Other,DAUGHTER IN LAW,,1,,,,,,1,0,1,12,,18,,,,,,,,,No,,10,,,,,,,,,,,,,,,,,
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,EC50F478-F636-4247-9770-A4A020D2EFE4,M,29.112014,,,,1,Other,G SON,,1,,,,,,0,0,,,,0,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,1BA0127B-5B40-8F41-AAE1-C23BCAD2A042,M,1979,0,0,,2,Child,,4,,3,,,,,1,2,1,2,4,4,0,0,,0,0,0,0,0,No,0,18,,1,,,,,0,DK,,1,,,,1,,,bride
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,220175BE-0A60-614D-A065-E8759D43B3AA,F,1933,,,,2,Other,Batita thaka,,1,,,,,,5,2,1,12,,0,0,0,,0,0,0,0,0,Yes,0,18,,,,,,,,,,,,,,,,,
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,57D622E9-C958-7141-9A5B-5C3EEDC57D4A,M,1975,22,15,,1,Child,,3,,,,,,,0,0,6,0,NA,0,0,0,DEAD,0,0,0,0,0,-,0,0,1,,,,,,0,,,,,,,,,,
