ID1,id_Questionaire,id,gender,age,relationship,relationshipType,location,educationMedium,education,occupation,occupationSpouse,deceased,q01,q02,q03,q04,q05,q06,q07,q08,q09,prestigePosition,prestigePositionDescription,q10,q11,q12
5802,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,B14BED90-7394-454B-A519-1021F3157A96,F,50,4,N,2,1,03,6,1,,,1,1,,,,1,,,,,,1,1
5803,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,678A16C8-D519-9448-A444-A39100DDA800,F,45,4,N,2,0,00,6,5,1,,1,1,,,,1,,,,,,1,1
5804,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,F9AB51AD-B98F-0442-A97E-7FDF517BF3D6,F,22,1,-,1,1,03,6,10,,,1,1,,,,,,,,,,,
5805,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,AB56CA6D-32B2-EF46-82A7-DC73DF719F61,M,55,0,N,3,1,04,7,6,,,,,,,,,,1,,,,,
5806,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,9B072B9B-BD8C-FD4B-8868-234275861DAC,M,80,0,-,4,1,04,7,6,,,,,,,,,,1,,,,,
5807,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,3796D198-25B6-2243-A6DC-A63AD1CBF519,M,70,0,N,4,1,04,4,DK,,,,,,,,,,1,,,,,
5808,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,E275BDC4-A5AE-5340-8E05-7F4964110472,,,,,,,,,,,,,,,,,,,,1,CHAIRMAN,,,
5809,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,61986F92-493B-334F-9229-B5730DE0282A,,,,,,,,,,,,,,,,,,,,1,PRINCEPLE,,,
5810,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,7C9A7DF9-C42B-8342-8EE3-1F7DB535BD96,,,,,,,,,,,,,,,,,,,,1,LEADER,,,
5811,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,D26BC1F0-A48C-0443-A057-8181BF99CF16,F,95,1,-,2,0,00,6,1,1,,,,,,,,,,,,,1,
1143,001E4F9D-80A6-E445-B3FC-2A5C6B336D10,1B910F27-2124-4E43-A070-9ECA5BE268CC,F,50,7,-,1,1,3,5,1,1,1,1,,,,,1,1,,,,,1,1
1144,001E4F9D-80A6-E445-B3FC-2A5C6B336D10,71EE997F-C55C-BC44-990E-05B123C56486,F,90,0,-,1,1,5,7,1,1,,1,1,,,,1,,,,,,1,
1145,001E4F9D-80A6-E445-B3FC-2A5C6B336D10,F9CEEF94-4E94-3E44-A59B-A3E99FC8B5BA,M,45,7,N,2,1,5,7,6,,,,,,,,,,,,,,,1
1627,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,9E833651-E4D6-E142-B774-55A6EEB8C3E5,F,15,1,-,1,1,4,8,NA,,1,,,,,,,1,,,,,1,1
1628,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,9F6F124E-1D24-0149-A492-790117001444,F,21,1,-,1,1,5,6,5,,1,,,,,,,,,,,,,
1629,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,F4151DE4-698A-EC4B-A852-765AF9EB43CA,M,57,1,-,1,1,4,7,6,,,1,,,,,,,,,,,,1
1630,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,BCCF8413-28B3-964D-ACBA-E4D356DCE364,F,34,1,-,3,1,4,6,1,,,1,,,,,1,1,,,,,,
1631,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,9A6DFA47-44EE-CA44-9DD5-9C4385945154,M,27,1,-,4,1,6,5,NA,,,,,,,,1,1,,,,,,1
1632,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,1F997CDB-8F1A-C64E-B1D1-45E8B4A2A37B,M,30,1,-,5,1,4,5,6,,,,,,,,,1,,,,,,
1633,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,BEFA57E7-772F-734F-8687-AE557715C1F3,F,23,1,-,3,1,4,6,4,,,,,,,,,1,,,,,,
1634,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,6FF0C08F-7826-C345-B22E-0ABAA84D5EA5,M,50,7,N,2,1,4,4,6,,,,,,,,,,1,,,,,
1635,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,73294C04-DB67-BD49-9461-5781C4033F57,,,,,,,,,,,,,,,,,,,,1,MEMBER,,,
2897,0178768C-E351-7843-A226-C6984596E710,37D2F174-FAA9-8D41-8C27-92A98EBFB33B,F,63,1,-,1,1,3,6,7,,1,1,,,,,,,,,,,,1
2898,0178768C-E351-7843-A226-C6984596E710,E6E57F50-6682-BC4C-974D-48DFCC737226,F,20,4,N,2,1,3,6,4,,1,,,1,,,,1,,,,,1,1
2899,0178768C-E351-7843-A226-C6984596E710,0CF8AA58-D158-7244-AAF1-D794A54B9C5E,F,15,4,N,2,1,4,8,NA,,1,,,,,,,,,,,,,
2900,0178768C-E351-7843-A226-C6984596E710,89BCD088-346B-DA40-9454-1C3E991C5E12,F,50,4,N,2,0,0,2,4,,,,,1,,,,,,,,,,
2901,0178768C-E351-7843-A226-C6984596E710,168882A5-662C-7347-8A0C-48F2A75953E7,M,44,1,-,1,1,4,5,5,,,,,,,,1,,,,,,1,1
2902,0178768C-E351-7843-A226-C6984596E710,399A0FD9-98C5-7A4B-80EB-33E4891DDE63,F,27,4,N,2,0,0,6,4,,,,,,,,1,1,,,,,1,1
2903,0178768C-E351-7843-A226-C6984596E710,13D7CA47-B5D0-7D40-A92A-385435F18F3E,F,35,4,N,2,0,0,6,4,,,,,,,,,1,,,,,,
2904,0178768C-E351-7843-A226-C6984596E710,A36B861F-B5F0-4946-B786-152E5B3598AE,F,40,4,N,2,0,0,6,4,,,,,,,,,1,,,,,,
2905,0178768C-E351-7843-A226-C6984596E710,8CBA77C2-A331-7D45-BF97-CCCF2CBB052D,M,45,0,N,3,1,6,5,5,,,,,,,,,,1,,,,,
2906,0178768C-E351-7843-A226-C6984596E710,47B8DC7A-5EC3-CF47-972C-CC3A9487BFF1,M,50,4,N,2,0,DK,5,6,,,,,,,,,,1,,,,,
2907,0178768C-E351-7843-A226-C6984596E710,43A065B6-907C-E744-A3CC-819FCE600EB8,,,,,,,,,,,,,,,,,,,,1,DOCTOR,,,
2908,0178768C-E351-7843-A226-C6984596E710,3635BC5A-D495-6145-A8E8-35816651E5DD,,,,,,,,,,,,,,,,,,,,1,MEMBER,,,
2909,0178768C-E351-7843-A226-C6984596E710,89280C59-6D78-A544-AC73-65EE39F6EB1F,F,50,4,N,2,0,0,6,4,,,,,,,,,,,,,,1,
2910,0178768C-E351-7843-A226-C6984596E710,CB91E671-80C6-DE4E-AAD8-D42B216834EF,F,41,4,N,2,1,3,6,4,,,,,,,,,,,,,,,1
