id,yearofbirth,ageatdeath,yearssincedeath,yearofdeath,orderofbirth,relationtorespondent,age_resp,childage,ageatbirth,childdied,afb
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,1953,,,,,Respondent,65,,,,23
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,1976,,,,1,Child,65,42,23,,23
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,1981,,,,2,Child,65,37,28,,23
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,1987,,,,3,Child,65,31,34,,23
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,1954,,,,,Respondent,64,,,,17
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,1971,,,,1,Child,64,47,17,,17
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,1973,,,,2,Child,64,45,19,,17
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,1975,22,15,,3,Child,64,22,21,1,17
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,1979,,,,4,Child,64,39,25,,17
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,1964,,,,,Respondent,54,,,,14
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,1983,,,,1,Child,54,35,19,,14
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,1978,9,31,,2,Child,54,9,14,1,14
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,1987,,,,3,Child,54,31,23,,14
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,1990,,,,4,Child,54,28,26,,14
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,1994,,,,5,Child,54,24,30,,14
0178768C-E351-7843-A226-C6984596E710,1987,,,,,Respondent,31,,,,
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,1965,,,,,Respondent,53,,,,21
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,1986,,,,1,Child,53,32,21,,21
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,1990,,,,2,Child,53,28,25,,21
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,1993,,,,3,Child,53,25,28,,21
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,1997,,,,4,Child,53,21,32,,21
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,2002,,,,5,Child,53,16,37,,21
030EA194-651A-8946-941E-206CC63BCAEB,1965,,,,,Respondent,53,,,,17
030EA194-651A-8946-941E-206CC63BCAEB,1982,,,,1,Child,53,36,17,,17
030EA194-651A-8946-941E-206CC63BCAEB,1984,,,,2,Child,53,34,19,,17
030EA194-651A-8946-941E-206CC63BCAEB,1987,,,,3,Child,53,31,22,,17
03109834-AB70-5743-8083-93570FA8DAE8,1972,,,,,Respondent,46,,,,23
03109834-AB70-5743-8083-93570FA8DAE8,1995,,,,1,Child,46,23,23,,23
03109834-AB70-5743-8083-93570FA8DAE8,1999,,,,2,Child,46,19,27,,23
03109834-AB70-5743-8083-93570FA8DAE8,2007,,,,3,Child,46,11,35,,23
03235896-F110-DC47-AD4A-9E8250B2B93D,1958,,,,,Respondent,60,,,,17
03235896-F110-DC47-AD4A-9E8250B2B93D,1975,,,,1,Child,60,43,17,,17
03235896-F110-DC47-AD4A-9E8250B2B93D,1978,,,,2,Child,60,40,20,,17
03235896-F110-DC47-AD4A-9E8250B2B93D,1982,,,,3,Child,60,36,24,,17
036B1777-78F2-0140-9036-51546D9271E1,1963,,,,,Respondent,55,,,,19
036B1777-78F2-0140-9036-51546D9271E1,1982,,,,1,Child,55,36,19,,19
036B1777-78F2-0140-9036-51546D9271E1,1984,,,,2,Child,55,34,21,,19
036B1777-78F2-0140-9036-51546D9271E1,1986,,,,3,Child,55,32,23,,19
036B1777-78F2-0140-9036-51546D9271E1,1988,,,,4,Child,55,30,25,,19
036B1777-78F2-0140-9036-51546D9271E1,1994,,,,5,Child,55,24,31,,19
036B1777-78F2-0140-9036-51546D9271E1,1999,,,,6,Child,55,19,36,,19
03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,1956,,,,,Respondent,62,,,,20
03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,1976,,,,1,Child,62,42,20,,20
03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,1987,,,,2,Child,62,31,31,,20
03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,1996,,,,3,Child,62,22,40,,20
03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,1976,7,34,1983,4,Child,62,7,20,1,20
03E5D296-CE95-412A-8830-E2E14DA84844,1956,,,,1,Respondent,62,,,,23
03E5D296-CE95-412A-8830-E2E14DA84844,1979,,,,1,Child,62,39,23,,23
03E5D296-CE95-412A-8830-E2E14DA84844,1980,,,,2,Child,62,38,24,,23
03E5D296-CE95-412A-8830-E2E14DA84844,1985,,,,3,Child,62,33,29,,23
03E5D296-CE95-412A-8830-E2E14DA84844,1987,,,,4,Child,62,31,31,,23
03E5D296-CE95-412A-8830-E2E14DA84844,1990,,,,5,Child,62,28,34,,23
04337336-BCF5-1449-8E35-EBFF3AAE55CE,1977,,,,,Respondent,41,,,,26
04337336-BCF5-1449-8E35-EBFF3AAE55CE,2003,,,,1,Child,41,15,26,,26
04337336-BCF5-1449-8E35-EBFF3AAE55CE,2005,,,,2,Child,41,13,28,,26
04337336-BCF5-1449-8E35-EBFF3AAE55CE,2015,,,,3,Child,41,3,38,,26
04953CAB-14FB-2A44-8AAB-9348634CE657,1972,,,,,Respondent,46,,,,21
04953CAB-14FB-2A44-8AAB-9348634CE657,1993,,,,1,Child,46,25,21,,21
04953CAB-14FB-2A44-8AAB-9348634CE657,1997,,,,2,Child,46,21,25,,21
04953CAB-14FB-2A44-8AAB-9348634CE657,2002,,,,3,Child,46,16,30,,21
