id,idhusband,interviewDate,notesRecord,HusbandAge,notesOccupation,foodSourceChildhood,foodSourceNow,skilledWork,skilledWorkWhich,skilledWorkLearnedFromParent,skilledWorkLearnedFromRelative,skilledWorkLearnedFromFriend,skilledWorkLearnedFromApprenticeship,skilledWorkLearnedFromSchool,skilledWorkLearnedFromSelf,skilledWorkLearnedFromOther,skilledWorkLearnedYears,skilledWorkLearnedMonths,skilledWorkLearnedDays,skilledWorkTeaching,skilledWorkTeachingChildren,skilledWorkTeachingRelatives,skilledWorkTeachingFriends,skilledWorkTeachingApprentice,skilledWorkTeachingOther,skilledWorkTeachingYears,skilledWorkTeachingMonths,skilledWorkTeachingDays,notesSkills,religiousEducationMuslim,religiousEducationFromSchool,religiousEducationFromReligiousLeader,religiousEducationFromFamily,religiousEducationFromTemple,religiousEducationFromNoOne,religiousEducationFromRelatives,religiousEducationNeverLearned,religiousEducationFromOthers,religiousEducationReadReligiousText,religiousEducationReadTextLevel,religiousEducationReadTextBangla,religiousEducationReadTextSanskrit,religiousEducationReciteText,religiousEducationMemorizeTextLevel,religiousEducationGoneOnUmrah,religiousEducationGoneOnHajj,religiousEducationNumberFamilyUmrah,religiousEducationNumberFamilyHajj,religiousEducationReadOtherHolyBooks,religiousEducationGoneOnPilgrimageIndia,religiousEducationGoneToHolyPlaces,religiousEducationNumberPilgrimageIndia,religiousEducationNumberHolyPlaces,notesReligiousEducation,respondentDhakaVisit,respondentBangladeshVisit,respondentAbroadVisit,MacArthurLadderPresent,MacArthurLadderPast,MacArthurLadderTelephonePresent,MacArthurLadderTelephonePast,listenRadio,watchTVMinutes,watchTVHours,watchTVPer,useInternet,notesMarketIntegration,perceptionRiskEconomy,perceptionRiskJobs,perceptionRiskChildrenSick,perceptionRiskAdultsSick,perceptionRiskChildrenDie,perceptionRiskAdultsDie,perceptionRiskYoungerAdultsDie,perceptionRiskOlderAdultsDie,perceptionRiskPeopleLive,perceptionRiskRTA,perceptionRiskInjury,perceptionRiskViolence,healthBetelnut,healthBetelnutDay,healthBetelnutMonth,healthBetelnutYears,healthSmoke,healthCigarettesDay,healthSmokeYears,healthPassiveSmoke,abilityToWorkRespondent,illnessRespondent,hospitalRespondent,seriousIllnessRespondent,seriousIllnessRespondentDescription,chronicIllnessRespondent,chronicIllnessRespondentDescription,notesHealth,loanInstitution1,loanInstitution1Type,loanInstitution2,loanInstitution2Type,loanInstitution3,loanInstitution3Type,loanCooperative,notesSocialNetwork
,FD11A344-F286-A040-8AF8-973F5E1C4C5B,18-Jan-18,,72,,50 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,2,2,,,,,,,3,2,0,1,2,,,0,0,0,,0,,3,3,1,1,1,1,1,1,3,1,1,1,,,,,,,,,1,1,2,0,,1,"Diabetes, Heart problem",,Aroza Samiti,microcredit,,,,,,
,1770D1AF-B50A-CF4F-9EE2-6437D4E9232E,27-Feb-18,,58,,all from own work,25 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,3,3,0,4,3,,,0,0,0,-,0,,3,3,1,1,2,1,1,2,3,1,1,1,,,,,,,,,1,1,0,,,,,,,,,,,,,
,BE79892F-FF44-9446-BE73-3D0D15EC9327,01-Mar-18,,77,,50 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,3,0,2,3,,,0,0,0,-,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,16,,2,,,,,1,1,0,2,1- ACCIDENT 2- STREET ASSAULT AND SNATCHING,1,1- DIABETES 2- ASTHMA.,,AGRANI BANK,bank,,,,,,
,349C93A2-F103-D845-B88F-6EAAE5DCE126,11-Mar-18,,68,,all from bazar,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,3,2,0,4,3,,,0,0,0,-,0,,3,3,1,1,2,1,1,2,3,1,2,1,1,8,,4,,,,,1,1,0,2,1- ACCIDENT 2- INJURED DUE TO FIGHTING AND THEN ADMITTED TO HOSPITAL.,,,,,,,,,,,
,1F69BDCE-8070-EA44-86EF-581FE3DF9D25,13-Feb-18,,77,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,1,1,0,0,,,,,,,4,3,1,5,4,,,0,10,0,day,0,,3,3,1,1,2,1,1,1,2,1,1,1,1,4,,7,,,,,1,1,2,0,NA,1,"HAS BEEN CONSTIPATION,   GAUGE.",,,,,,,,,
,511EF922-F293-FB4E-A84A-607CDA344073,10-Feb-18,,72,,all from own work,25 percent from own work,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,,2,3,0,2,3,,,0,0,30,day,0,,3,3,1,1,3,1,1,1,3,1,1,1,,,,,1,8,50,,1,1,0,1,SICK DUE TO DYSENTERY.,1,BREATHING.,,,,,,,,,
,1FC1E4AE-CA7C-8941-89A7-C0B0D0186894,16-Apr-18,,70,,all from bazar,50 percent from own work,1,Drummer,,,,,,,Master,2,0,0,1,1,1,,,,2,0,0,,,,1,1,,,,,,,,,,,,,,,,,,1,0,3,,2,3,0,4,3,,,0,0,0,,0,,3,3,1,1,3,1,1,3,1,1,1,1,1,5,,5,1,15,50,1,2,3,2,2,"TB,Migraine",1,High BP,,Brack,microcredit,,,,,,
,4D05F64F-EA62-D940-AC59-20BD1365F850,22-Apr-18,,59,,all from bazar,all from bazar,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,,2,2,0,1,1,,,0,0,0,,0,,3,3,2,1,1,1,1,1,2,1,1,1,,,,,,,,,1,1,0,0,-,,,,,,,,,,,
,75E3355E-236C-904D-A54D-E2BE97BA18CC,12-May-18,,70,,all from own work,all from bazar,1,carpenter,1,,,,,,,2,0,0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,0,2,,3,3,0,5,4,,,0,30,0,day,0,,3,3,1,1,3,1,1,1,3,1,1,1,1,5,,20,1,20,30,,1,1,0,1,Paykhana Bondho hoia gecilo,,,,Grameen Bank,microcredit,,,,,,
,D9A39545-EA5A-4C4D-93D6-F70FAE5C1126,31-Dec-17,,37,,75 percent from own work,all from bazar,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,,8,4,0,5,4,,,0,30,0,day,1,,3,3,1,1,3,3,1,2,1,1,3,1,,,,,,,,,1,1,3,,,,,,,,,,,,,
