id_Questionaire,id,yearOfBirth,mainOccupation,otherOccupation1,otherOccupation2,otherOccupationNote,ageBeganWorkingFullTime,incomeTotalMonthly,incomeYearlyCrops,incomeMonthlyRentsInvestments,incomeMonthlyPension,remittance,incomeMonthlyRemittance
CE0EF415-3E1A-F34B-945A-A816586E9985,00109542-9FE1-BB4F-8D2C-833D8EBA7C21,1983,23,,,-,19,15000,0,0,0,No,0
819A1C39-8FE1-D748-8A57-883ED3748B69,002A273D-A22B-064A-AE4D-F399E86EA993,1956,11,0,0,-,50,0,0,0,6000,Yes,4000
CFA0BF5A-5AAB-3D40-BF75-056F7BB8F1A3,00A8EBB0-DD6C-2E4E-96C7-20D48D827CE9,1943,0,0,0,-,0,0,0,0,0,Yes,10000
0202845C-7E38-0543-B03D-3E80217C7E15,01298E2F-FE22-A041-9D49-7D45C833117A,1982,23,0,0,-,30,10000,0,0,0,No,0
61662702-B745-3047-8FDC-AF51C6AC5F46,0183812E-B551-AA42-A2BC-999FA27CC898,1944,0,0,0,-,60,0,0,0,0,Yes,25000
3FA91B41-7927-AC4B-9CD6-6F8174910E42,01A351A8-9B2F-4244-A538-F98A9784A5DB,1958,4,2,0,-,20,5000,0,0,0,Yes,2000
E13F7774-F6CE-EA45-AEBF-97285C9E8313,029EE2FC-9307-5E4C-81EF-7EF9CB137F5D,1948,0,0,0,,0,0,0,0,9000,Yes,10000
D093FE5A-CF3D-9745-9CF5-8198A18CEAA7,02F61629-0390-A84B-9EE0-93ABA387DEB3,1971,4,2,,-,17,8000,0,0,0,No,0
B606AAB6-DBDA-7749-B094-4431C063F70E,03001477-94B9-A046-B731-7994382DCB82,1974,10,0,0,,33,15000,42000,0,0,No,0
BB804A9D-3108-4745-8AB1-3852F3A808F8,0309C519-8B21-694F-8150-A00BF9343466,1963,1,0,0,,17,3000,0,0,0,Yes,6000
7530E028-1685-A045-A78A-AF2F7F2090AB,033F3AD9-DBFB-8940-A678-84C5F67953D3,1959,1,,,-,30,5500,0,0,0,Yes,7000
F797DF65-FDCB-964A-A192-FC816859140E,036C664C-1B26-D841-8D02-60B3DD3F0876,1959,9,2,,-,20,16000,10000,0,0,Yes,10000
A194A065-0F32-E74D-BC0C-867060F8218B,04BC48BC-16B6-6B49-A1C7-618016105A9A,1942,0,0,0,-,65,0,0,0,0,Yes,25000
4C9DEF87-1C2C-C349-BFEE-75BEAAD86633,04C27501-83BC-4A4B-9D96-A7FC91E1CB4F,1944,1,0,0,-,45,7000,0,0,500,Yes,1000
4F442D32-1E66-6848-8860-DE97F77F7464,04E8D9F5-EFB6-7A45-AA32-A7027C215DB6,1975,1,0,0,-,33,12000,0,0,0,No,0
1EA9CAAE-D4BA-B841-857F-66BA26798694,06763623-9C41-FE4F-863D-876753A8C8CA,1957,10,1,0,-,54,10000,20000,0,0,Yes,15000
515335B1-6A91-4D40-8130-485CE5BF7B4B,06F92E1B-6ED7-5E45-87F7-043C1B2B587C,1955,1,0,0,-,19,0,30000,0,0,Yes,15000
7A4300E3-9587-D74F-AE08-FB432D401283,06FEEFA1-043D-154F-93DF-A2B12DCA9B07,1965,1,4,0,-,16,10500,8000,0,0,Yes,5000
294312E3-F688-5541-8FC1-3AA4B59D5214,07EF78F3-23D8-D341-BD11-5CBAE8E4A1DC,1963,4,2,5,-,15,6000,0,0,0,No,0
A365F09C-487D-254E-84A8-F27DF23CF964,08257ABF-E20B-6D4D-B6D0-FD3980535481,1959,1,9,,-,20,10000,15000,0,0,Yes,10000
A0227361-3EBB-D841-B6D1-A5C92B32C1BC,083D9910-A09B-0941-AA1A-43553F67B5B7,1969,10,,,-,20,10000,0,0,400,No,0
FC17C894-E438-674F-B7CC-B8DF27EC3F73,0844F908-55FC-F046-858B-71DAFBCFBDCF,1988,4,2,0,-,15,8000,20000,0,0,No,0
5012529F-6287-3D48-B279-53ED1A6D5231,0870FAFD-0860-E743-A91E-8AA975364CF4,1956,1,0,0,-,14,8000,15000,0,0,Yes,5000
654B02E4-A8B3-BD43-8926-C6270BF09C45,087DA746-F7E1-F448-9810-DE54B9790CEF,1974,23,2,9,-,32,20000,20000,0,0,No,0
5C2C860D-1DF2-DE44-9E1D-370415B70FB8,0967170A-8133-7C4C-8341-E382693D56F7,1942,0,0,0,-,65,0,0,0,0,Yes,20000
503D20E9-8D6F-C54F-AEC9-4301CC297706,098E7DE9-212C-7A42-AE80-4B4729327610,1964,1,,,-,20,7000,10000,0,0,Yes,10000
9B9D7A9F-F3B8-2248-A372-148A7C28EE48,0A09C3EC-282E-7144-BF8F-7B6FDB2BAA09,1958,9,0,0,-,40,5000,0,0,0,Yes,10000
E23BAE68-3D83-634B-A3F9-70F664BE5DAE,0B0DA22D-5680-5143-ADA4-AB0622E08156,1961,9,0,0,-,25,10000,0,0,0,No,0
FDDF9CA0-A01C-EB46-B8EF-1ADB96565354,0B635AD0-7FC4-DD4C-B12B-8659A2B20314,1968,10,1,9,-,30,8000,16000,0,0,No,0
5E9BF869-11C7-024C-A063-2E0C0C2DAE4D,0B8FD7D9-95FA-6340-B53A-11D6C1AB7D4E,1958,1,16,6,-,10,15000,50000,8000,0,No,0
AEDAD4C3-8385-E646-9C8E-19FA38C0E6D3,0C9561D3-E0CE-F546-A645-6563DBEA0D72,1964,5,0,0,-,18,20000,0,0,0,No,0
4EF9E929-21D5-0645-B389-EB6A65106A47,0DA3A697-7FC1-844C-9980-A4AE76753522,1958,10,0,0,-,20,15000,0,0,0,No,0
20FDCB9F-815F-354D-B82D-562AF8A5D5FC,0E0AC1D7-4280-AE49-B2E3-6BCB53E30416,1951,0,0,0,-,60,0,0,0,0,Yes,5000
F0CFCB1A-5809-EB4D-A6BC-63EDE572156E,0E19FB1C-92FB-F041-8920-A7FCD10F80BD,1965,9,,,-,25,22000,0,0,0,No,0
C1D66FB4-90AB-3E4C-9EBD-6D28C43C2BB5,0F3A7136-C5E0-5143-A1B8-5B36BDAD7B87,1956,10,0,0,-,25,50000,0,0,0,Yes,10000
330EDA94-D2A0-E944-BDDE-5A3C68BC82EE,0F7C3B9B-1427-784C-8028-5229E9E1CE8F,1948,0,0,0,-,60,0,0,0,0,Yes,10000
D457042E-CB27-434E-A75B-9282EA3EE35E,0F8EA1A2-57FB-D94B-B0EA-14C476DCE284,1986,2,4,,-,14,15000,7000,0,0,No,0
44CE3AC7-7F54-1746-B785-15B6E3C3FE3A,11520D3A-C919-6345-BD94-8B7A69B65548,1984,10,0,0,,24,30000,0,1500,0,No,0
BE6E7EA0-EF8D-3F4D-B6A7-2EA2D2B99250,115B19B0-BFF8-4441-A98E-8176370C88DD,1977,1,12,0,,14,8000,0,0,0,No,0
C8AC206B-6CF8-B14F-BCA5-4A05345B4298,11678310-1C6F-D446-8F62-3FFBD0E366A4,1940,0,0,0,-,0,0,0,0,0,Yes,20000
584958AD-D57A-5846-A8D0-C47FA16D1D7C,11C4D9B0-81EC-FD43-A073-79F936C445ED,1968,10,16,0,,25,40000,0,12000,0,No,0
096A33E1-1B78-0949-AF80-712D443FBC44,11F176C7-BB35-5041-9F40-D776A62353E7,1967,9,0,0,-,44,20000,0,0,0,No,0
61F59CD7-AB2E-7C41-BF2A-E28F35E23200,12BA289A-CAF3-DB46-A84E-D64500DB1CC0,1970,4,0,0,-,13,9000,0,0,0,No,0
846CB4BC-3250-7A41-A5BD-F337D3174A85,1406F8E3-71C7-D040-97B1-BD2147FD6949,1965,10,1,0,,25,45000,0,0,0,No,0
A4C56846-0ABC-B54A-836B-39F24561474D,14B88AB4-A7C3-9C4A-882A-D0D6C3FE8B90,1980,10,0,0,-,16,30000,0,0,0,Yes,10000
E0CCAAB8-27C2-DA4C-88E1-FD46D1E81F99,15029E5F-DE8C-B94A-B23F-33A8297F16E9,1976,12,2,0,,18,12000,25000,0,0,No,0
015D90CB-26FF-A74B-8727-25D9D046530A,151F219C-9081-6645-B935-56467EE72D8D,1961,10,2,0,-,25,8000,0,0,0,Yes,2000
C08E012D-5A97-6F42-9785-BD6F66A9E749,157364C4-91C6-4642-A491-54A50E2051A5,1962,9,0,0,,17,40000,0,7000,0,No,0
