id_Questionaire,id,gender,age,relationship,relationshipType,location,educationMedium,education,enrolled,occupation,occupationSpouse,deceased,q01,q02,q03,q04,q05,q06,q07,q08,q09,prestigePosition,prestigePositionDescription,q10,q11,q12
015D90CB-26FF-A74B-8727-25D9D046530A,0A16E335-85B2-4B40-B1AB-8A6CBC856933,M,68,0,N,2,1,6,,7,6,,,,,,,,,,1,1,MATABBAR,,,1
015D90CB-26FF-A74B-8727-25D9D046530A,7435D607-8786-A24D-A509-CC742FA3D827,M,75,0,N,2,1,6,,7,6,,,,,,,,,,1,1,MATABBAR,,,1
015D90CB-26FF-A74B-8727-25D9D046530A,763AD98D-E08C-7F4E-8D5E-AB5F1F37AC59,M,57,0,N,2,6,0,,7,6,,,,,,,,,1,,,,,,1
015D90CB-26FF-A74B-8727-25D9D046530A,90A5239E-008C-9941-A83B-56F9C151D929,M,23,1,-,1,1,3,,2,888,,1,,,,,,,,,,,,,1
015D90CB-26FF-A74B-8727-25D9D046530A,943D5B6A-AFB3-CE46-8AF5-38974137675D,M,27,1,-,4,1,2,,2,6,,1,,,,,,,,,,,,,1
015D90CB-26FF-A74B-8727-25D9D046530A,97751655-F826-0B43-9F84-5E1C8E425596,F,28,2,-,2,6,0,,6,4,,,,,,1,,,,,,,,,
015D90CB-26FF-A74B-8727-25D9D046530A,97FEDF36-A688-684E-BE58-AA9A0A7C0EC6,M,55,0,N,2,1,999,,1,6,,,,,,,,,1,,,,,,1
015D90CB-26FF-A74B-8727-25D9D046530A,A5D3FB4B-D6E4-BA41-AC43-D6B253364267,M,70,0,N,2,1,2,,1,6,,,,,,,,,1,,,,,,1
015D90CB-26FF-A74B-8727-25D9D046530A,B252A3AC-E529-8548-BDAA-437F586D82C0,F,54,1,-,1,6,0,,6,5,,1,,,,,,,,,,,,1,1
015D90CB-26FF-A74B-8727-25D9D046530A,D8DEAB7A-1DC9-0340-B4BB-A12C6B59F61F,F,35,2,-,2,6,0,,6,25,,,,,,,,,,,,,,,
015D90CB-26FF-A74B-8727-25D9D046530A,F49B8327-F3A6-C74F-91CD-FC6760E1A946,M,57,0,N,2,1,999,,4,6,,,,,,,,,,1,1,CONTRACTOR+ AWAMILEG  LEADER,,,
016A9229-47B8-FA48-8923-5B5942062E72,22506C4B-A639-4641-8578-F14662864EB3,M,45,5,C,2,1,6,,4,5,,1,1,,,,1,1,1,,,,,,1
016A9229-47B8-FA48-8923-5B5942062E72,240D842B-4BC9-9B4D-A866-5805C636BCC9,M,35,5,C,2,1,4,,4,5,,1,1,,,,1,1,1,,,,,,1
016A9229-47B8-FA48-8923-5B5942062E72,4D0B32F4-042E-1F4D-8347-C2F5E4BE1F7D,M,45,0,N,2,1,4,,4,6,,,,,,,,,,,,,1,,
016A9229-47B8-FA48-8923-5B5942062E72,5332E437-A0AF-AB4E-A138-B6223955897B,M,50,0,N,2,1,6,,4,6,,,,,,,,,,1,1,LEADER OF BNP,1,,
016A9229-47B8-FA48-8923-5B5942062E72,5D10F377-D719-5B4D-834A-D18B24981E3B,M,55,3,-,3,1,5,,5,6,,,,,,1,1,,,,,,,,1
016A9229-47B8-FA48-8923-5B5942062E72,6B705C44-9D97-5E40-A397-CCB3923B98D3,M,60,3,-,3,1,5,,4,5,,,,,,1,1,1,1,,,,,,1
016A9229-47B8-FA48-8923-5B5942062E72,70410F5F-F36A-6D42-A29F-DAC5D63379DD,M,60,0,N,2,1,5,,4,6,,,,,,,,,,1,1,MATOBBAR,1,,
016A9229-47B8-FA48-8923-5B5942062E72,79C61C2D-7482-3F4B-BDF3-563AD07BF4ED,M,16,5,B,3,1,3,,4,888,,1,,,,,,,,,,,,,
016A9229-47B8-FA48-8923-5B5942062E72,9E546BF7-2573-1D4F-A2DF-AC85233C700D,M,90,1,-,1,0,0,,7,5,1,,,,,,,1,,,,,,,
016A9229-47B8-FA48-8923-5B5942062E72,AEB2CD49-7CD9-D546-AA0E-35DC972DF311,F,45,1,-,1,1,6,,5,4,,,,,,,,1,1,,,,,1,1
016A9229-47B8-FA48-8923-5B5942062E72,B87F9B7F-C39B-E246-B854-B69C5E6A6D12,M,55,0,N,2,1,5,,7,6,,,,,,,,,,1,1,EX COUNCILOR,1,,
016A9229-47B8-FA48-8923-5B5942062E72,BA162A39-DC4B-4041-95E5-0DDDC7F03D26,M,35,0,B,2,1,4,,4,6,,,,,,,,,1,,,,,,
016A9229-47B8-FA48-8923-5B5942062E72,BCE2BACA-B049-1540-A039-1C78AB3F284A,M,70,0,N,2,1,4,,4,6,,,,,,,,,,1,1,MATOBBAR,1,,1
016A9229-47B8-FA48-8923-5B5942062E72,C1EA6B72-7905-9646-A2B3-E2C5A98A40FF,M,35,0,B,3,1,4,,4,6,,,,,,,1,,1,,,,,,1
016A9229-47B8-FA48-8923-5B5942062E72,D610EF6A-7437-7B4A-9E3C-B25DAD75BA04,M,60,0,B,3,1,4,,4,6,,,,,,,1,,,,,,,,1
016A9229-47B8-FA48-8923-5B5942062E72,DF69E3E0-81B1-9846-A890-771E6530A047,M,60,0,N,2,1,5,,4,6,,,,,,,,,,,,,1,,
017518A6-D5AA-2C46-8729-4D48B8F0A6CE,0415B660-B383-A441-80E2-ED4FFD05A0A4,M,30,2,-,2,1,4,,4,6,,,,,,,,,1,,,,,,1
017518A6-D5AA-2C46-8729-4D48B8F0A6CE,3DD2A7EE-92D9-E941-AB72-BA7234AEF42E,M,42,0,-,3,1,6,,5,5,,,,,,,,,1,,,,1,,
017518A6-D5AA-2C46-8729-4D48B8F0A6CE,69503311-58FC-394A-A129-6719786610C1,M,50,0,N,2,1,6,,5,5,,,,,,,,,,,,,1,,
017518A6-D5AA-2C46-8729-4D48B8F0A6CE,6DB2F11A-B166-4044-A349-D1D73567B38C,M,50,0,N,2,1,6,,5,6,,,,,,,,,,1,1,MATABBAR,,,
017518A6-D5AA-2C46-8729-4D48B8F0A6CE,752EEEDF-87D8-C44E-A8A5-1849A3774D4B,M,40,4,-,2,1,3,,4,6,,,,,,,,,,,,,,,1
