"id","religion","skilledWork","skilledWorkWhich","foodSecurity","foodSourceChildhood","foodSourceNow","WEALTH_TOTAL_VAL","n","hh_income","hh_remit","hh_pension","hh_crops","hh_rents","total_income","labor_migrant_hh_total","husbandDhakaVisit","husbandBangladeshVisit","husbandAbroadVisit","respondentDhakaVisit","respondentBangladeshVisit","respondentAbroadVisit","natalBariDhakaMale","natalBariDhakaFemale","natalBariBangladeshMale","natalBariBangladeshFemale","natalBariAbroadMale","natalBariAbroadFemale","maritalBariDhakaMale","maritalBariDhakaFemale","maritalBariBangladeshMale","maritalBariBangladeshFemale","maritalBariAbroadMale","maritalBariAbroadFemale","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","watchTVMinutes","watchTVHours","watchTVPer","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime"
"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4","ISLAM",0,"",1,"all from own work","all from bazar",652800,7,0,30000,0,0,0,30000,5,8,2,0,2,0,0,3,6,1,1,0,0,1,2,0,0,0,0,"average",6,0,0,1,"day",0,15,15,15,10,90,60,90,180,15,20
"001E4F9D-80A6-E445-B3FC-2A5C6B336D10","Islam",0,"",1,"75 percent from own work","all from bazar",215400,8,2000,0,0,0,0,2000,5,0,0,0,2,1,0,2,1,0,0,2,0,3,3,0,0,0,0,"less",1,0,0,0,"",0,10,30,30,10,30,40,20,240,20,40
"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5","ISLAM",0,"",1,"75 percent from own work","all from bazar",353000,9,50000,15000,0,500,0,65500,4,4,1,0,3,0,0,0,0,0,0,4,1,2,0,0,0,2,0,"more",10,0,0,0,"",4,5,25,25,10,30,30,10,210,10,30
"0178768C-E351-7843-A226-C6984596E710","HINDU",1,"SHELAI(TAILORING)",1,"all from bazar","all from bazar",149225,4,2200,0,600,0,0,2800,0,3,2,0,8,2,0,15,10,0,0,1,0,5,2,0,0,0,0,"average",5,0,0,6,"day",0,15,30,30,15,30,60,30,150,5,30
"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD","HINDU",0,"",1,"75 percent from own work","all from bazar",319820,7,60500,0,0,0,0,60500,4,8,1,2,4,1,2,0,0,0,0,2,0,0,0,0,0,0,0,"average",5,0,18,0,"day",0,10,90,90,15,45,30,45,240,5,45
"030EA194-651A-8946-941E-206CC63BCAEB","Islam",0,"",1,"25 percent from own work","all from bazar",231025,9,20000,20000,0,0,0,40000,6,4,1,0,1,0,0,8,7,0,0,20,0,3,1,1,0,15,0,"less",4,0,0,2,"day",2,10,30,30,10,10,120,120,180,10,10
"03109834-AB70-5743-8083-93570FA8DAE8","ISLAM",1,"WEAVING MATE.",2,"25 percent from own work","all from bazar",96900,5,6000,0,0,0,0,6000,1,2,2,8,2,2,0,5,0,0,0,1,0,10,3,0,0,15,0,"less",4,0,0,0,NA,0,5,20,20,20,20,50,60,150,5,20
"03235896-F110-DC47-AD4A-9E8250B2B93D","HINDU",0,"",1,"75 percent from own work","25 percent from own work",173725,7,49000,0,0,1166.66666666667,0,50166.6666666667,3,8,2,0,8,3,0,0,0,6,4,0,0,1,2,0,0,0,0,"more",4,0,0,1,"day",0,15,30,30,10,45,60,10,180,15,5
"036B1777-78F2-0140-9036-51546D9271E1","ISLAM",0,"",1,"all from own work","all from bazar",559075,10,50000,30000,0,0,0,80000,1,2,1,1,2,0,0,0,0,0,0,1,0,3,3,0,0,1,0,"more",7,0,30,0,"day",0,10,15,15,10,30,40,10,360,10,30
"03D1EE2F-AAEB-7443-89FA-25C9B8C64A19","Islam",0,"",3,"all from bazar","all from bazar",160420,10,12500,0,0,0,0,12500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"average",2,0,0,0,"0",0,8,40,40,8,20,20,5,0,10,30
"03E5D296-CE95-412A-8830-E2E14DA84844","Islam",0,"",2,"all from own work","25 percent from own work",298575,10,13500,3000,300,833.333333333333,0,17633.3333333333,11,0,2,1,0,2,0,2,0,0,0,3,0,1,1,2,0,1,0,"less",3,0,30,NA,"week",3,10,30,30,20,30,30,50,180,7,30
"04337336-BCF5-1449-8E35-EBFF3AAE55CE","ISLAM",1,"HANDY CRAFT",2,"75 percent from own work","all from bazar",106410,5,10500,0,0,0,0,10500,0,2,2,0,0,2,0,0,0,0,0,6,0,4,2,1,1,6,0,"average",2,0,0,0,"",0,5,30,30,20,30,30,20,240,20,30
"048AA5B0-AA47-6B41-A1D1-050BB85D70FD","ISLAM",1,"PATI- MOILLAH",1,"25 percent from own work","all from bazar",130965,8,36000,27000,0,0,0,63000,6,8,8,8,3,8,0,0,0,5,4,0,0,5,4,1,1,0,0,"average",3,0,4,0,"day",1,2,30,30,5,20,20,10,180,5,20
"04953CAB-14FB-2A44-8AAB-9348634CE657","Islam",0,"",1,"75 percent from own work","all from bazar",329850,5,25000,0,0,0,0,25000,2,8,8,0,4,4,0,0,0,1,0,0,0,2,4,0,0,3,0,"average",6,0,60,NA,"day",0,5,15,15,15,25,25,35,240,5,25
"0542540B-4CD8-0547-8B67-9916E3E1102F","ISLAM",0,"",1,"all from own work","25 percent from own work",165070,6,32000,0,0,0,0,32000,3,2,1,0,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,"more",5,0,30,0,"week",0,5,30,30,20,30,20,20,120,20,10
"05973754-27A6-1E4F-96B5-1AD53A56B667","ISLAM",0,"",1,"25 percent from own work","all from bazar",458140,5,102000,40000,0,0,0,142000,3,4,3,0,3,3,0,5,5,0,0,6,0,15,10,7,3,10,0,"more",7,0,30,0,"day",1,20,10,10,5,15,60,10,180,5,15
"05C58388-D7A4-6843-B3F1-C8F975C3D744","Islam",0,"",1,"all from bazar","25 percent from own work",132820,6,6000,0,0,291.666666666667,0,6291.66666666667,2,2,6,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"average",5,0,NA,0,"",2,15,10,10,10,30,30,60,360,10,10
"074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE","Islam",0,"",1,"75 percent from own work","75 percent from own work",303825,13,23000,15000,600,2083.33333333333,0,40683.3333333333,11,2,3,0,2,3,0,0,0,0,0,7,0,1,0,2,0,4,0,"average",6,0,0,0,"",0,10,30,30,10,20,60,90,270,20,60
"07912EE6-0285-4048-9223-1B307628C02E","ISLAM",1,"WEAVING MATE",1,"all from own work","all from bazar",359195,10,90000,0,300,250,0,90550,9,8,0,1,4,3,0,7,5,0,0,1,1,0,0,0,0,2,0,"average",5,NA,30,0,"day",0,60,60,60,30,30,30,30,180,30,30
"07D320AF-3E76-1A43-88F4-2FC765780D48","ISLAM",0,"",1,"50 percent from own work","all from bazar",319450,5,35000,10000,0,0,0,45000,4,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,"less",5,0,30,0,"day",2,8,21,21,5,15,80,20,210,20,30
"086650F0-9323-AC45-8619-68599A4BE2ED","Hindu",0,"",2,"all from bazar","all from bazar",168500,9,26000,5000,0,0,0,31000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"average",5,0,0,0,"",0,15,0,60,15,60,60,60,240,15,60
"088850A9-DE8C-7349-932E-E1E370A38076","Islam",1,"Pati banano",1,"all from bazar","all from bazar",54780,4,15000,0,0,0,0,15000,1,4,2,0,8,1,0,1,2,1,0,0,0,0,1,0,0,1,0,"less",5,0,15,0,"week",0,5,45,45,5,30,30,120,300,30,30
"08B360C1-D860-FA4E-952A-945A3446D9D1","Islam",0,"",2,"25 percent from own work","all from bazar",429050,7,1800,0,0,0,0,1800,4,2,2,0,2,2,0,0,0,0,0,3,0,4,2,0,1,9,0,"average",5,0,0,0,"",0,10,10,10,10,60,60,3,180,10,60
"08C490B8-8D54-A647-853F-31C05F5B472F","ISLAM",0,"",2,"all from own work","25 percent from own work",200500,5,0,5000,0,1666.66666666667,0,6666.66666666667,1,5,2,1,2,0,0,0,0,0,0,1,0,3,2,0,0,2,0,"average",1,0,0,NA,"",0,5,0,60,30,120,180,30,120,30,30
"094D6542-1E2E-8948-A91F-61E5CC5A221E","Islam",0,"",1,"all from own work","all from bazar",291200,7,25000,20000,0,0,0,45000,5,2,0,2,2,1,0,0,0,0,0,1,0,1,1,1,0,3,0,"average",3,0,30,0,"day",1,10,30,30,7,30,30,20,180,20,30
"09A1E8E3-FCEA-B448-82D5-66C63802F970","Islam",0,"",1,"all from own work","all from own work",231675,10,10000,3000,0,8333.33333333333,0,21333.3333333333,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,"average",5,0,0,0,"",0,5,30,30,5,30,30,5,180,5,60
