id,religion,skilledWork,religiousEducationMuslim,religiousEducationFromSchool,religiousEducationFromReligiousLeader,religiousEducationFromFamily,religiousEducationFromTemple,religiousEducationFromNoOne,religiousEducationFromRelatives,religiousEducationNeverLearned,religiousEducationFromOthers,religiousEducationReadReligiousText,religiousEducationReadTextLevel,religiousEducationReadTextBangla,religiousEducationReadTextSanskrit,religiousEducationReciteText,religiousEducationMemorizeTextLevel,religiousEducationGoneOnUmrah,religiousEducationGoneOnHajj,religiousEducationNumberFamilyUmrah,religiousEducationNumberFamilyHajj,religiousEducationReadOtherHolyBooks,religiousEducationGoneOnPilgrimageIndia,religiousEducationGoneToHolyPlaces,religiousEducationNumberPilgrimageIndia,religiousEducationNumberHolyPlaces,assetPrimaryResidence,assetOwnHouse,assetInheritHouse,assetNumberOfHousesOwned,assetPrimaryResidenceAge,assetPrimaryResidenceRooms,assetPrimaryResidenceRoof,assetPrimaryResidenceRoofOther,assetPrimaryResidenceWall,assetPrimaryResidenceWallOther,assetPrimaryResidenceFloor,assetPrimaryResidenceFloorOther,assetPrimaryResidenceFuel,assetPrimaryResidenceToiletType,assetPrimaryResidenceToiletOwnShared,assetElectricity,assetElectricityYears,assetChargerLight,assetChargerLightNumber,assetElectricFan,assetElectricFanNumber,assetElectricLight,assetElectricLightDegree,assetSolarPanel,assetSolarPanelSize,assetGenerator,assetGeneratorNumber,assetTelevision,assetTelevisionNumber,assetFridge,assetFridgeNumber,assetQuilt,assetQuiltNumber,assetMattress,assetMattressNumber,assetCot,assetCotNumber,assetChair,assetChairNumber,assetSofa,assetSofaNumber,assetSofaSet,assetSofaSetNumber,assetRack,assetRackNumber,assetCabinet,assetCabinetNumber,assetTable,assetTableNumber,assetDressingTable,assetDressingTableNumber,assetCookingPotsDegree,assetChickenDucks,assetChickenDucksNumber,assetGoats,assetGoatsNumber,assetCowsOxen,assetCowsOxenNumber,assetRickshaw,assetRickshawNumber,assetAutorickshaw,assetAutorickshawNumber,assetBicycle,assetBicycleNumber,assetMotorcycle,assetMotorcycleNumber,assetCNGTomTom,assetCNGTomTomNumber,assetBoat,assetBoatEngine,assetShop,assetShopSize,assetTractor,assetTractorNumber,assetTubeWell,assetTubeWellOwn,assetDeepTubewell,assetPond,assetPondSize,assetPondOwn,assetMobilePhone,assetMobilePhoneNumber,assetSmartphone,assetSmartphoneNumber,assetComputer,assetComputerNumber,notesHouseholdAssets,notesFoodSecurity,FoodSecurity,landOwnedHouseAmount,landOwnedFarmAmount,landOwnedUnit,landInheritanceHusband,landInheritanceHusbandLater,landInheritanceRespondent,landPurchasedHusband,landPurchasedRespondent,foodSourceChildhood,foodSourceNow,notesLandInheritance,landPurchasedHusbandNA,landInheritanceHusbandNA,landInheritanceRespondentLater,landInheritanceRespondentNA,landPurchasedRespondentNA,WEALTH_TOTAL_VAL,familyBariSocialClassAfter,MacArthurLadderPresent,MacArthurLadderPast,id_Questionaire,id,gender,relationToRespondent,incomeTotalMonthly,incomeYearlyCrops,incomeMonthlyRentsInvestments,incomeMonthlyPension,remittance,incomeMonthlyRemittance,id_Questionaire,NoInHH,hh_income,HHInc_per_cap,,correlations
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,ISLAM,,1,,1,1,,,,,,1,,,,,,,,1,2,,,,,,1,1,1,2,7,5,2,,2,,2,,1,2,own,1,7,1,1,1,4,1,average,1,M,,,1,1,1,1,1,4,1,4,1,4,1,4,1,,,1,,,1,3,1,1,1,1,average,1,3,,,,,,,,,,,1,1,,,,,,own,,,1,,1,1,M,shared,1,1,1,2,,,,,1,5,0,4,1,,,1,,all from own work,all from bazar,,,,,,,652800,2,6,4,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,30C82A41-7190-E640-97F6-BB016D5E2F0B,F,Respondent,,,,,No,,0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,7,NA,,,0.212970192
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,Islam,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,5,1,1,1,0,,2,,2,,2,,1,1,own,1,0,,,1,3,1,average,1,M,,,,,1,1,1,6,1,3,1,3,1,4,,,,,1,2,1,2,,,,,more,,,,,,,,,,,,,,,,,,,,,,,1,own,,1,L,shared,1,1,,,,,,,1,0,0,,1,,,,,75 percent from own work,all from bazar,,,,,,,215400,1,1,3,001E4F9D-80A6-E445-B3FC-2A5C6B336D10,82B30249-AC03-9144-995F-CA8AABD27DC6,F,Respondent,2000,0,0,0,No,0,001E4F9D-80A6-E445-B3FC-2A5C6B336D10,8,2000,250,,
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,ISLAM,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,1,1,1,1,150,6,2,,2,,2,,2,2,own,1,25,1,2,1,5,1,more,,,,,,,1,1,1,6,1,6,1,6,1,6,1,,,1,1,1,1,3,1,2,1,1,average,,,,,,,,,,,,,,,,,,,,,,,,,1,1,L,shared,1,2,,,,,,,1,0,180,1,1,,,1,,75 percent from own work,all from bazar,,,,1,,1,353000,2,10,6,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,EA340003-0E97-E144-9F93-4A941B77F719,F,Respondent,0,0,0,0,No,0,00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,9,50000,5555.555556,,
0178768C-E351-7843-A226-C6984596E710,HINDU,1,,,,1,,,,,,1,Can,1,,1,All,,,,,1,,1,0,3,1,,,1,150,2,3,,2,,1,,1,2,own,1,0,1,1,1,2,1,less,,,,,1,1,,,1,5,1,2,1,2,1,3,,,,,,,1,2,,,1,1,average,,,,,,,,,,,,,,,,,,,,,,,1,own,,1,M,shared,1,3,,,,,,,1,0,0,0,,,,,,all from bazar,all from bazar,,,,,,,149225,2,5,4,0178768C-E351-7843-A226-C6984596E710,DAE0988D-8E17-0148-ABE3-A605198D67C3,F,Respondent,2200,0,0,0,No,0,0178768C-E351-7843-A226-C6984596E710,4,2200,550,,
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,HINDU,,,,1,,,,,,,,,,,,,,,,,,1,1,4,4,1,1,,1,20,4,3,,2,,2,,1,2,own,1,48,,,1,3,1,average,,,,,1,1,1,1,1,5,1,4,1,4,1,5,1,,,1,1,1,1,3,1,1,,,less,,,,,,,,,,,,,,,,,,,,,,,1,own,,,,,1,1,,,,,,,1,2,0,1,1,,,,,75 percent from own work,all from bazar,,,,,,,319820,2,5,6,02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,81AC5F0C-0348-5F4E-A13C-8D1A6FFD616F,F,Respondent,0,0,0,0,No,0,02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,7,60500,8642.857143,,
030EA194-651A-8946-941E-206CC63BCAEB,Islam,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,1,1,,2,100,3,3,,3,,1,,1,3,shared,1,8,1,2,1,3,1,average,,,,,,,1,1,1,2,1,3,1,4,1,2,,,,,1,1,1,2,1,1,,,average,1,5,,,,,,,,,,,,,,,,,,,,,1,own,,1,M,,1,3,1,1,,,,,1,26,18,1,,,1,1,,25 percent from own work,all from bazar,,,,,,,231025,2,4,3,030EA194-651A-8946-941E-206CC63BCAEB,588FB597-4B34-7742-A785-5C0F849DDC5C,F,Respondent,0,0,0,0,No,0,030EA194-651A-8946-941E-206CC63BCAEB,9,NA,,,
03109834-AB70-5743-8083-93570FA8DAE8,ISLAM,1,1,,1,,,,,,,,,,,,,,,1,0,,,,,,1,1,,1,150,3,3,,3,,1,,1,3,own,1,12,1,1,1,2,1,average,,,,,,,,,1,2,1,2,1,3,,,,,,,,,1,1,1,1,,,average,1,3,,,,,,,,,,,,,,,,,,,,,1,own,,1,S,shared,1,2,,,,,,,2,4,10,1,,,,,,25 percent from own work,all from bazar,,,,,,,96900,2,4,3,03109834-AB70-5743-8083-93570FA8DAE8,B4C57415-14D9-0546-8022-8B0F43975605,F,Respondent,0,0,0,0,No,0,03109834-AB70-5743-8083-93570FA8DAE8,5,6000,1200,,
03235896-F110-DC47-AD4A-9E8250B2B93D,HINDU,,,,1,,,,,,,1,Can,1,,1,Little,,,,,,,,0,0,1,1,1,1,100,3,3,,3,,1,,1,3,own,1,4,1,2,1,3,1,average,,,,,,,1,1,1,2,1,2,1,3,1,4,,,,,1,1,1,2,1,2,,,average,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,M,shared,1,2,,,,,,,1,6,36,1,1,,,,,75 percent from own work,25 percent from own work,,,,,,,173725,2,4,5,03235896-F110-DC47-AD4A-9E8250B2B93D,B302D8AE-2D51-B24E-8075-E56A423BD792,F,Respondent,0,0,0,0,No,0,03235896-F110-DC47-AD4A-9E8250B2B93D,7,49000,7000,,
036B1777-78F2-0140-9036-51546D9271E1,ISLAM,,1,,1,,,,,,,,,,,,,,1,0,1,,,,,,1,1,1,2,0,6,3,,3,,1,,1,3,own,1,12,1,3,1,6,1,more,,,,,1,1,1,1,1,10,1,5,1,6,1,6,1,,,5,1,1,1,1,1,1,1,1,average,,,,,,,,,,,,,,,,,,,,,,,1,own,,1,M,shared,1,3,1,4,1,1,,,1,9,0,1,1,,,,,all from own work,all from bazar,,,,,,,559075,2,7,6,036B1777-78F2-0140-9036-51546D9271E1,F4E797B9-800C-A741-8735-4FD884B1A6BE,F,Respondent,0,0,0,0,No,0,036B1777-78F2-0140-9036-51546D9271E1,10,50000,5000,,
03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,Islam,,1,,1,,,,,,,,,,,,,,,0,0,,,,,,1,1,,1,0,2,3,,3,,2,,1,3,own,1,4,,,1,2,1,more,1,,,,,,1,1,1,2,1,2,1,2,,,1,1,,,,,1,1,1,1,,,less,,,,,,,,,,,,,,,,,,,,own,,,1,,,,,,1,1,1,0,,,,,3,0,0,,1,,,,,all from bazar,all from bazar,,,,,,,160420,1,2,2,03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,574AFD67-AAC8-6E42-8E19-F53F1BBCDFAC,F,Respondent,,,,,No,,03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,10,NA,,,
03E5D296-CE95-412A-8830-E2E14DA84844,Islam,,1,,1,,,,,,,,,,,,,,,1,0,,,,,,1,1,,1,100,3,3,,3,,1,,1,3,shared,1,1,,,1,3,1,average,1,L,,,,,1,1,1,3,1,3,1,3,1,8,1,,,1,,,1,2,1,2,,,average,1,9,,,1,2,,,,,,,,,,,,,,own,,,1,,,1,L,shared,1,3,1,1,,,,,2,0,8,5,,,1,1,,all from own work,25 percent from own work,,,,,,,298575,2,3,2,03E5D296-CE95-412A-8830-E2E14DA84844,E8296F01-EA2D-492E-863F-1DD357B722CF,F,Respondent,,2500,,,Yes,3000,03E5D296-CE95-412A-8830-E2E14DA84844,10,NA,,,
04337336-BCF5-1449-8E35-EBFF3AAE55CE,ISLAM,1,1,,1,,,,,,,1,Can,,,,,,,0,2,,,,,,1,1,,1,150,2,3,,3,,1,,1,3,shared,1,22,,,1,2,1,less,,,,,,,,,1,3,1,2,1,2,1,4,,,,,1,1,1,1,1,2,,,average,,,1,1,,,,,,,,,,,,,,,,,,,1,own,,1,L,shared,1,1,,,,,,,2,0,0,,,,,,,75 percent from own work,all from bazar,,,,,,,106410,2,2,3,04337336-BCF5-1449-8E35-EBFF3AAE55CE,8261B4BB-EE8D-0746-9B85-BBED61B0454F,F,Respondent,,,,,No,0,04337336-BCF5-1449-8E35-EBFF3AAE55CE,5,NA,,,
048AA5B0-AA47-6B41-A1D1-050BB85D70FD,ISLAM,1,1,,1,1,,,,,,1,Can,,,,,,,1,0,,,,,,1,1,1,1,100,4,3,,3,,1,,1,3,own,1,45,1,2,1,2,1,less,,,,,1,1,,,1,2,1,1,1,3,1,5,,,,,,,,,,,1,1,average,1,13,,,,,,,,,,,,,,,,,,,,,1,shared,,1,L,shared,,,1,1,,,,,1,2,0,1,,,1,,,25 percent from own work,all from bazar,,,,,,,130965,2,3,3,048AA5B0-AA47-6B41-A1D1-050BB85D70FD,A6B568FE-0F40-9445-8947-EE736246D0C4,F,Respondent,,,,,Yes,25000,048AA5B0-AA47-6B41-A1D1-050BB85D70FD,8,NA,,,
04953CAB-14FB-2A44-8AAB-9348634CE657,Islam,,1,,1,1,,,,,,1,Can,,,,,,,0,0,,,,,,1,1,,1,100,4,3,,2,,2,,1,2,own,1,16,,,1,4,1,average,1,L,,,1,1,1,1,1,4,1,4,1,4,1,6,,,,,1,1,1,3,1,2,,,average,,,,,,,,,,,,,,,,,,,,shared,,,1,,1,1,M,shared,1,2,1,2,,,,,1,0,0,,,,,,,75 percent from own work,all from bazar,,,,,,,329850,2,6,5,04953CAB-14FB-2A44-8AAB-9348634CE657,E877078D-5894-D442-AEE1-BC9DDEEDEEA0,F,Respondent,,,,,No,,04953CAB-14FB-2A44-8AAB-9348634CE657,5,NA,,,
0542540B-4CD8-0547-8B67-9916E3E1102F,ISLAM,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,1,1,1,1,0,3,3,,3,,1,,2,3,own,1,6,,,1,2,1,less,1,S,,,,,,,1,3,1,2,1,3,1,2,,,,,1,1,1,2,1,1,,,less,1,14,,,,,,,,,,,,,,,,,,,,,,,1,1,M,shared,1,1,,,,,,,1,4,0,1,1,,,,,all from own work,25 percent from own work,,,,,,,165070,3,5,5,0542540B-4CD8-0547-8B67-9916E3E1102F,5308E35E-40FE-5842-93BF-8DD64E283B2E,F,Respondent,0,0,0,0,No,0,0542540B-4CD8-0547-8B67-9916E3E1102F,6,32000,5333.333333,,
05973754-27A6-1E4F-96B5-1AD53A56B667,ISLAM,,1,,1,1,,,,,,1,,,,,,,,3,4,,,,,,2,1,,2,24,5,3,,3,,2,,2,1,own,1,19,1,2,1,4,1,average,,,,,1,1,1,1,1,7,1,6,1,5,1,9,1,,,1,1,1,1,3,1,2,1,1,average,,,,,,,,,,,,,,,,,,,,,,,1,own,1,,,,1,2,1,2,,,,,1,28,100,1,,,1,1,1,25 percent from own work,all from bazar,,,,,,,458140,2,7,6,05973754-27A6-1E4F-96B5-1AD53A56B667,CACBB90A-DC9F-E948-BED6-60318A494ABD,F,Respondent,27000,,,,No,,05973754-27A6-1E4F-96B5-1AD53A56B667,5,NA,,,
05C58388-D7A4-6843-B3F1-C8F975C3D744,Islam,,1,,1,,,,,,,1,Can,,,,,,,0,0,,,,,,1,1,,1,100,3,3,,3,,2,,1,2,shared,,,,,,,1,less,1,S,,,,,,,1,2,1,2,1,3,1,4,,,,,,,1,1,1,2,,,less,,,,,1,1,,,,,,,,,,,,,,shared,,,1,,,1,S,shared,1,2,,,,,,,1,0,0,,1,,,,,all from bazar,25 percent from own work,,,,,,,132820,2,5,2,05C58388-D7A4-6843-B3F1-C8F975C3D744,AB366D83-44C6-AA45-8EA3-9A5FF63FA6F2,F,Respondent,,,,,No,,05C58388-D7A4-6843-B3F1-C8F975C3D744,6,NA,,,
