id,marketIntegrationPrimarySchoolMinutes,marketIntegrationPrimarySchoolHours,marketIntegrationPrimarySchoolByFoot,marketIntegrationPrimarySchoolByRickshaw,marketIntegrationPrimarySchoolByTomTom,marketIntegrationPrimarySchoolByCNG,marketIntegrationPrimarySchoolByBoat,marketIntegrationPrimarySchoolByBus,marketIntegrationHighSchoolMinutes,marketIntegrationHighSchoolHours,marketIntegrationHighSchoolByFoot,marketIntegrationHighSchoolByRickshaw,marketIntegrationHighSchoolByTomTom,marketIntegrationHighSchoolByCNG,marketIntegrationHighSchoolByBoat,marketIntegrationHighSchoolByBus,marketIntegrationCollegeMinutes,marketIntegrationCollegeHours,marketIntegrationCollegeByFoot,marketIntegrationCollegeByRickshaw,marketIntegrationCollegeByTomTom,marketIntegrationCollegeByCNG,marketIntegrationCollegeByBoat,marketIntegrationCollegeByBus,marketIntegrationSmallBazaarMinutes,marketIntegrationSmallBazaarHours,marketIntegrationSmallBazaarByFoot,marketIntegrationSmallBazaarByRickshaw,marketIntegrationSmallBazaarByTomTom,marketIntegrationSmallBazaarByCNG,marketIntegrationSmallBazaarByBoat,marketIntegrationSmallBazaarByBus,marketIntegrationLargeBazaarMinutes,marketIntegrationLargeBazaarHours,marketIntegrationLargeBazaarByFoot,marketIntegrationLargeBazaarByRickshaw,marketIntegrationLargeBazaarByTomTom,marketIntegrationLargeBazaarByCNG,marketIntegrationLargeBazaarByBoat,marketIntegrationLargeBazaarByBus,marketIntegrationTownMinutes,marketIntegrationTownHours,marketIntegrationTownByFoot,marketIntegrationTownByRickshaw,marketIntegrationTownByTomTom,marketIntegrationTownByCNG,marketIntegrationTownByBoat,marketIntegrationTownByBus,marketIntegrationMainRoadMinutes,marketIntegrationMainRoadHours,marketIntegrationMainRoadByFoot,marketIntegrationMainRoadByRickshaw,marketIntegrationMainRoadByTomTom,marketIntegrationMainRoadByCNG,marketIntegrationMainRoadByBoat,marketIntegrationMainRoadByBus,marketIntegrationDhakaMinutes,marketIntegrationDhakaHours,marketIntegrationDhakaByCNG,marketIntegrationDhakaByBus,marketIntegrationDhakaByLaunch,marketIntegrationPharmacyMinutes,marketIntegrationPharmacyHours,marketIntegrationPharmacyByFoot,marketIntegrationPharmacyByRickshaw,marketIntegrationPharmacyByTomTom,marketIntegrationPharmacyByCNG,marketIntegrationPharmacyByBoat,marketIntegrationPharmacyByBus,marketIntegrationMBBSMinutes,marketIntegrationMBBSHours,marketIntegrationMBBSByFoot,marketIntegrationMBBSByRickshaw,marketIntegrationMBBSByTomTom,marketIntegrationMBBSByCNG,marketIntegrationMBBSByBoat,marketIntegrationMBBSByBus,marketIntegrationHospitalMinutes,marketIntegrationHospitalHours,marketIntegrationHospitalByFoot,marketIntegrationHospitalByRickshaw,marketIntegrationHospitalByTomTom,marketIntegrationHospitalByCNG,marketIntegrationHospitalByBoat,marketIntegrationHospitalByBus,husbandDhakaVisit,husbandBangladeshVisit,husbandAbroadVisit,respondentDhakaVisit,respondentBangladeshVisit,respondentAbroadVisit,relocatedSince1997,relocatedSince1997Number,relocationJob,relocationFinancialImprovement,relocationFinancialProblems,relocationFamilyProblems,relocationBetterEducation,relocationBetterHealthcare,relocationBetterInfrastructure,relocationMarriage,relocationOther,relocationOtherDescription,closerToPrimarySchool,closerToCollege,closerToMarket,closerToTown,closerToMainRoad,closerToCity,natalBariDhakaMale,natalBariDhakaFemale,natalBariBangladeshMale,natalBariBangladeshFemale,natalBariAbroadMale,natalBariAbroadFemale,maritalBariDhakaMale,maritalBariDhakaFemale,maritalBariBangladeshMale,maritalBariBangladeshFemale,maritalBariAbroadMale,maritalBariAbroadFemale,familiesFoodShare,familiesCooperationAgriculture,familiesCooperationChildcare,familiesLoanActivity,familyBariWealthBefore,familyBariWealthAfter,familyBariEducationBefore,familyBariEducationAfter,familyBariReligiousBefore,familyBariReligiousAfter,familyBariSocialSizeBefore,familyBariSocialSizeAfter,familyBariSocialClassBefore,familyBariSocialClassAfter,familyBariPoliticalBefore,familyBariPoliticalAfter,MacArthurLadderPresent,MacArthurLadderPast,listenRadio,watchTVMinutes,watchTVHours,watchTVPer,useInternet
0019881D-F4AF-ED46-A9F0-385A7E9C8EC4,15,0,,,,,,,15,0,,,,,,,15,0,,,,,,,10,0,,,,,,,30,1,,,,,,,0,1,,,,,,,30,1,,,,,,,0,3,,,,15,0,,,,,,,20,0,,,,,,,30,0,,,,,,,8,2,0,2,0,0,1,1,,1,,,,,,,,,,,,,,,3,6,1,1,0,0,1,2,0,0,0,0,0,0,0,0,more,average,less,average,more,more,more,more,middle,middle,not at all,not at all,6,4,0,0,1,day,0
001E4F9D-80A6-E445-B3FC-2A5C6B336D10,10,0,1,,,,,,30,0,1,,,,,,30,0,1,,,,,,10,0,1,,,,,,30,0,,,,1,,,40,0,,,,1,,,20,0,1,,,,,,0,4,,1,,20,0,1,,,,,,40,0,,,,1,,,0,1,,,,1,,,0,0,0,2,1,0,1,1,,,1,,,,,,,,,,,,,,2,1,0,0,2,0,3,3,0,0,0,0,0,0,0,0,more,less,average,less,average,less,average,less,lower,lower,not at all,not at all,1,3,0,0,0,,0
00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5,5,0,1,,,,,,10,0,1,,,,,,25,0,,,1,,,,10,0,1,,,,,,30,0,,,1,,,,30,0,,,1,,,,10,0,1,,,,,,30,3,1,1,,10,0,1,,,,,,30,0,,,1,,,,45,0,,,1,,,,4,1,0,3,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,4,1,2,0,0,0,2,0,0,0,0,0,more,more,more,more,more,more,more,more,upper,middle,less,less,10,6,0,0,0,,4
0178768C-E351-7843-A226-C6984596E710,15,0,1,,,,,,15,0,1,,,,,,30,0,,,,1,,,15,0,1,,,,,,30,0,,,,1,,,0,1,,,,1,,,30,0,,,,1,,,30,2,1,1,,5,0,1,,,,,,30,0,,,,1,,,15,1,,,,1,,,3,2,0,8,2,0,1,1,,,,,,,,1,,,1,1,1,,,,15,10,0,0,1,0,5,2,0,0,0,0,0,0,0,0,more,average,average,average,average,more,more,more,middle,middle,not at all,not at all,5,4,0,0,6,day,0
02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD,10,0,1,,,,,,30,1,1,,,,,,30,1,1,,,,,,15,0,1,,,,,,45,0,1,,,1,,,30,0,,,,1,,,45,0,,,,1,,,0,4,,1,,5,0,1,,,,,,45,0,1,,,,,,30,1,,,,1,,,8,1,2,4,1,2,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,average,average,more,average,average,average,more,average,upper,middle,average,average,5,6,0,18,0,day,0
030EA194-651A-8946-941E-206CC63BCAEB,10,0,1,,,,,,20,0,1,,,,,,30,0,,,1,,,,10,0,,,,,1,,10,0,,,,,1,,0,2,,,,1,,,0,2,,,,1,,,0,3,1,1,,10,0,,,,,1,,10,0,1,,,,,,0,2,,,,1,,,4,1,0,1,0,0,,,,,,,,,,,,,,,,,,,8,7,0,0,20,0,3,1,1,0,15,0,0,0,0,0,more,less,less,less,more,more,more,more,upper,middle,not at all,not at all,4,3,0,0,2,day,2
03109834-AB70-5743-8083-93570FA8DAE8,5,0,1,,,,,,30,0,1,,,,,,20,0,,,1,,,,20,0,1,,,,,,20,0,,,1,,,,50,0,,,1,,,,0,1,,,,1,,,30,2,1,1,,5,0,1,,,,,,20,0,,,1,,,,0,1,,,,1,,,2,2,8,2,2,0,,,,,,,,,,,,,,,,,,,5,0,0,0,1,0,10,3,0,0,15,0,0,0,0,0,less,less,average,less,average,more,more,more,middle,middle,not at all,not at all,4,3,0,0,0,NA,0
03235896-F110-DC47-AD4A-9E8250B2B93D,15,0,1,,,,,,15,0,1,,,,,,30,0,,,,1,,,10,0,1,,,,,,45,0,1,,,,,,0,1,,,,1,,,10,0,,,,1,,,0,3,,1,,15,0,1,,,,,,5,0,1,,,,,,20,1,,,,1,,,8,2,0,8,3,0,,,,,,,,,,,,,,,,,,,0,0,6,4,0,0,1,2,0,0,0,0,0,0,0,0,more,average,less,more,average,average,more,less,middle,middle,not at all,not at all,4,5,0,0,1,day,0
036B1777-78F2-0140-9036-51546D9271E1,10,0,1,,,,,,10,0,1,,,,,,15,0,1,,,,,,10,0,1,,1,,,,30,0,,,,1,,,40,0,1,,1,,,,10,0,1,,,,,,0,6,,1,,10,0,1,,,,,,30,0,1,,1,1,,,30,0,,1,1,,,,2,1,1,2,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,average,more,average,more,average,more,average,more,middle,middle,not at all,not at all,7,6,0,30,0,day,0
03D1EE2F-AAEB-7443-89FA-25C9B8C64A19,8,0,,,,,,,30,0,,,,,,,40,0,,,,,,,8,0,,,,,,,20,0,,,,,,,20,0,,,,,,,5,0,,,,,,,0,0,,,,10,0,,,,,,,30,0,,,,,,,45,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less,less,less,average,average,average,less,less,lower,lower,not at all,not at all,2,2,0,0,0,0,0
03E5D296-CE95-412A-8830-E2E14DA84844,10,0,,,,,,,5,0,,,,,,,30,0,,,,,,,20,0,,,,,,,30,0,,,,,,,30,0,,,,,,,50,0,,,,,,,0,3,,,,7,0,,,,,,,30,0,,,,,,,50,0,,,,,,,0,2,1,0,2,0,,,,,,,,,,,,,,,,,,,2,0,0,0,3,0,1,1,2,0,1,0,0,0,0,0,average,average,average,less,more,more,more,more,middle,middle,average,average,3,2,0,30,,week,3
