"sex","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","labor_migrant_bari_in_bangladesh","years_of_education_wife","husband_occupation","years_of_education_husband","relocate_MI","institutionloan_vs_other","bank_vs_micro","husbandTravelINBangladesh","wifeTravelINBangladesh","wifeAbroadTravel","husbandAbroadTravel","listenRadio_h","useInternet_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","occupation_agriculture_dummy","occupation_mkt_connection","occupation_ses","age_wife","age_h","assetMobilePhone","assetSmartphone","assetComputer","assetElectricity","landOwnedFarmAmount"
0,6,75,225845,20000,1,1,5,0,3,4.0625,4.28571428571429,5.71428571428571,5.45454545454545,3.87096774193548,5.80645161290323,19.0909090909091,2.65193370165746,8.57142857142857,18.5483870967742,13,0,0,0,0,0,0,8,5,0,0,0,2,4500,0,1,1,0,0,71,74,1,1,0,1,0
1,5,50,59045,9666.666667,1,0,3,0,0,4.0625,4.28571428571429,5.71428571428571,10,5.71428571428571,6.92307692307692,52.5,2.65193370165746,16.3636363636364,27.3809523809524,0,0,1,0,0,0,0,1,0,0,0,0,0,1050,0,0,0,0,1,69,69,0,0,0,1,0
1,6,100,142030,44000,8,2,6,0,0,21.6666666666667,5.625,7.5,10,10.9090909090909,1.97802197802198,3.44262295081967,15.4838709677419,30,95.8333333333333,13,0,9,7,1,1,1,16,0,0,0,2,0,0,1,1,1,2,2,60,60,1,0,0,1,5
0,6,100,244845,77000,1,2,5,0,1,65,90,120,60,120,180,210,2.65193370165746,180,35.9375,4,5,5,5,1,1,1,1,2,0,0,0,0,1800,0,0,0,0,1,41,47,1,1,0,0,133
1,6,25,213625,34416.66667,1,0,4,2,0,2.09677419354839,2.90322580645161,3.87096774193548,3.75,3.87096774193548,5.80645161290323,19.0909090909091,2.27488151658768,11.25,18.5483870967742,3,0,9,3,0,1,0,4,3,0,0,0,0,900,0,1,1,2,2,58,58,1,0,0,0,24
0,5,75,298575,22800,7,0,4,0,0,3.0952380952381,3.46153846153846,4.61538461538461,0.983606557377049,2.35294117647059,2.22222222222222,4.11764705882353,1.99170124481328,8.57142857142857,18.5483870967742,5,0,24,0,0,0,0,2,1,0,1,NA,0,1350,0,1,1,1,1,63,65,1,1,0,1,0
0,6,75,384475,55000,1,2,4,0,2,10.8333333333333,15,20,20,20,5.80645161290323,19.0909090909091,3.17880794701987,16.3636363636364,52.2727272727273,44,9,0,9,0,0,0,8,9,0,0,0,NA,NA,NA,NA,1,0,0,55,NA,1,1,0,1,100
0,5,100,106410,16000,2,0,2,0,0,16.25,8.18181818181818,10.9090909090909,5.45454545454545,20,2.95081967213115,35,3.17880794701987,30,95.8333333333333,6,0,0,0,0,0,0,4,5,0,0,0,0,900,0,0,1,0,0,83,81,1,1,0,1,0
0,5,100,121155,10500,0,0,1,0,0,8.125,2.90322580645161,3.87096774193548,2.85714285714286,1.9672131147541,5.80645161290323,10,1.99170124481328,11.25,18.5483870967742,0,4,6,8,0,0,0,8,3,0,0,0,0,900,0,0,0,0,1,50,58,1,0,0,0,18
0,6,100,130965,63000,6,1,5,0,0,10.8333333333333,2.90322580645161,3.87096774193548,2.85714285714286,3.87096774193548,1.97802197802198,6.7741935483871,2.65193370165746,8.57142857142857,9.42622950819672,9,0,0,3,1,0,0,4,10,0,0,NA,NA,0,NA,NA,1,0,0,56,NA,1,0,0,1,0
