"sex","age_wife","age_h","MI_geo_proximity","MI_economic_capital","MI_human_capital","NW_total","non_rels","parents_kids","pat_rels","mat_rels","in_laws","far_rels","geo_distance_non_rels","geo_distance_rels","rels_in_NW","rels_in_NW_h","percent_rels_in_NW","percent_rels_in_NW_h","rels_econ_help","rels_econ_help_h","non_rels_econ_help","non_rels_econ_help_h","percent_rels_econ_help","percent_rels_econ_help_h","emot_support_rels","emot_support_rels_h","emot_support_non_rels","emot_support_non_rels_h","percent_rels_emot_support","percent_rels_emot_support_h","childcare_help_rels","childcare_help_non_rels","childcare_help_rels_percent","overall_help_rels","overall_help_rels_h","overall_help_non_rels","overall_help_non_rels_h","percent_overall_help_rels","percent_overall_help_rels_h","religion","religious_knowledge_scale","hh_total","kids_in_hh","familyBariReligiousBefore","familyBariReligiousAfter","religious_change","R_NUM_SIBS"
0,55,62,-0.422790951247275,2.24745862005953,0.0138518692630679,14,0,8,0,1,3,1,NA,2.6,14,11,0.857142857142857,1,5.001,5,0.001,0,0.999800079968013,1,12.001,8,0.001,0,0.999900019996001,1,4.001,0.001,0.999857183661811,22.004,24,0.004,0,0.999846201168871,1,0,-2.62696335078534,1.3651832460733,1.09031413612565,0,0,0,5
0,31,36,-0.453261759061534,-1.14294528094648,0.686649464008745,12,1,3,2,0,1,6,3,2.1,11,5,0.888888888888889,1,5.001,4,0.001,0,0.874906273431642,1,5.001,7,0.001,0,0.999800079968013,1,5.001,0.001,0.9995004995005,20.004,15,0.004,7,0.999764816556914,0.76,1,1.37303664921466,0.365183246073299,-1.90968586387435,0,0,0,6
0,32,NA,-0.0741325109812541,-0.623843066396997,0.262691199436101,10,1,1,0,1,5,0,5,1.93333333333333,9,NA,0.75,NA,3.001,NA,1.001,NA,0.9995004995005,NA,4.001,NA,0.001,NA,0.999750124937531,NA,2.001,0.001,0.9995004995005,9.004,NA,1.004,NA,0.908793604651163,NA,0,-2.62696335078534,-2.6348167539267,-0.909685863874345,0,-1,-1,3
1,60,60,-0.0146385882198733,0.00797452843838731,-0.447082273579547,13,0,6,0,1,3,0,NA,2.5,13,3,0.866666666666667,1,5.001,0,0.001,0,0.999800079968013,NA,3.001,6,0.001,2,0.99966688874084,0.777777777777778,2.001,0.001,0.5,10.004,10,0.004,2,0.999600319744205,0.857142857142857,0,-2.62696335078534,-1.6348167539267,0.0903141361256545,1,0,-1,2
0,52,NA,-0.108382775780802,0.327635906157749,-0.580096572955173,9,1,2,0,0,5,0,2,1.85714285714286,8,NA,0.875,NA,2.001,NA,1.001,NA,0.99966688874084,NA,2.001,NA,0.001,NA,0.9995004995005,NA,3.001,0.001,0.999001996007984,10.004,NA,1.004,NA,0.899680255795364,NA,0,-2.62696335078534,-6.6348167539267,-2.90968586387435,0,1,1,2
1,49,49,-0.405391492714261,-0.588110761699495,-0.557202873935656,11,0,3,0,0,4,1,NA,1.77777777777778,11,10,0.888888888888889,1,1.001,3,0.001,0,0.999001996007984,1,5.001,3,0.001,0,0.999800079968013,1,1.001,0.001,0.999750124937531,10.004,18,0.004,0,0.999600319744205,1,1,-2.62696335078534,-0.634816753926701,1.09031413612565,0,-1,-1,6
0,58,65,0.00925735490936608,1.4018502009136,0.239591143395446,22,0,4,1,0,0,9,NA,1.66666666666667,22,8,1,1,8.001,4,0.001,0,0.999750124937531,1,10.001,9,0.001,1,0.999888913574761,0.888888888888889,3.001,0.001,0.999857183661811,28.004,18,0.004,2,0.999833388870377,0.91304347826087,1,5.37303664921466,-0.634816753926701,-0.909685863874345,0,0,0,2
1,53,52,-0.122889834201958,-0.523888332917143,1.13646483374964,8,1,1,0,0,1,3,2,2.2,7,11,1,1,4.001,2,0.001,0,0.999800079968013,1,12.001,11,1.001,0,0.899920015996801,1,6.001,0.001,0.99987503124219,22.004,17,4.004,2,0.782510431154381,0.904761904761905,0,-0.12696335078534,-0.634816753926701,0.0903141361256545,1,0,-1,4
0,67,NA,-0.255247769519429,1.16894413073677,0.197706936645206,5,0,3,0,0,0,1,NA,1.75,5,NA,0.857142857142857,NA,2.001,NA,0.001,NA,0.9995004995005,NA,0.001,NA,0.001,NA,0.5,NA,3.001,0.001,0.9995004995005,8.004,NA,0.004,NA,0.9995004995005,NA,0,-0.62696335078534,-0.634816753926701,-2.90968586387435,0,1,1,0
0,62,NA,-0.38773705895791,-1.07404567181635,-0.689479298966413,7,0,2,0,0,2,2,NA,2.28571428571429,7,NA,0.666666666666667,NA,2.001,NA,0.001,NA,0.9995004995005,NA,1.001,NA,0.001,NA,0.999001996007984,NA,0.001,0.001,0.9995004995005,6.004,NA,0.004,NA,0.999334221038615,NA,0,-2.62696335078534,0.365183246073299,1.09031413612565,-1,0,1,5
0,57,67,0.311982709746879,1.35110195337339,-0.756237980505237,10,0,5,0,0,2,2,NA,1.42857142857143,10,2,0.666666666666667,1,0.001,0,0.001,0,0.5,NA,5.001,3,0.001,4,0.999800079968013,0.555555555555556,2.001,0.001,0.999750124937531,9.004,9,0.004,0,0.99955595026643,1,0,1.37303664921466,1.3651832460733,0.0903141361256545,1,1,0,6
1,37,34,0.230086165424527,0.307772090608282,0.269732943308283,15,0,11,0,0,1,1,NA,2,15,12,0.857142857142857,1,6.001,4,0.001,0,0.999833388870377,1,7.001,8,0.001,0,0.99987503124219,1,6.001,0.001,0.999888913574761,20.004,24,0.004,2,0.999789562289562,0.928571428571429,0,1.87303664921466,0.365183246073299,1.09031413612565,1,0,-1,8
1,45,45,-0.400582512584506,-1.03823794603047,0.356787951881968,12,0,3,0,0,4,3,NA,1.88888888888889,12,4,0.857142857142857,1,5.001,2,0.001,2,0.999750124937531,0.5,4.001,2,0.001,2,0.999750124937531,0.333333333333333,0.001,0.001,0.999833388870377,13.004,9,0.004,9,0.999692496924969,0.444444444444444,0,6.37303664921466,-1.6348167539267,0.0903141361256545,0,0,0,2
0,63,75,-0.167266391998526,0.588098213453564,0.0635043511814212,12,2,5,0,0,0,2,2,2,10,5,0.8,1,0.001,2,1.001,4,0.5,0.333333333333333,5.001,3,1.001,3,0.833222259246918,0.571428571428571,4.001,0.001,0.999833388870377,10.004,11,5.004,13,0.722123500666371,0.458333333333333,0,-1.12696335078534,4.3651832460733,-0.909685863874345,1,1,0,6
0,59,NA,-0.107800837126576,0.0952328904587421,-1.20225588697603,19,3,8,0,0,7,5,2,2.28571428571429,19,NA,0.857142857142857,NA,9.001,NA,0.001,NA,0.999001996007984,NA,11.001,NA,0.001,NA,0.999944450616598,NA,4.001,0.001,0.9995004995005,40.004,NA,0.004,NA,0.999857183661811,NA,0,-1.62696335078534,1.3651832460733,0.0903141361256545,1,1,0,6
0,61,73,0.0833665486774574,0.5206134288696,-0.755794929422869,11,0,3,0,8,0,3,NA,2.22222222222222,11,5,0.833333333333333,1,2.001,2,0.001,0,0.9995004995005,1,4.001,8,0.001,0,0.999750124937531,1,1.001,0.001,0.999800079968013,10.004,15,0.004,0,0.999600319744205,1,0,-0.62696335078534,1.3651832460733,0.0903141361256545,0,0,0,4
1,45,45,-0.110849004143125,-0.314446414007873,-0.443369313826924,6,2,1,1,0,3,0,2,2,3,9,0.75,1,2.001,4,0.001,0,0.99966688874084,1,1.001,1,0.001,4,0.5,0.25,2.001,1.001,0.5,6.004,9,0.004,5,0.999334221038615,0.692307692307692,0,-1.62696335078534,-0.634816753926701,-0.909685863874345,1,-1,-2,1
0,55,66,-0.00991407921600985,0.0490689018643357,-1.12552653557617,13,2,8,0,0,2,2,2,2.36363636363636,11,16,0.833333333333333,1,13.001,9,0.001,0,0.999888913574761,1,7.001,6,0.001,3,0.99987503124219,0.7,4.001,0.001,0.999909107435012,16.004,11,0.004,1,0.999750124937531,0.947368421052632,0,-1.62696335078534,3.3651832460733,0.0903141361256545,1,0,-1,2
0,64,NA,-0.317808947667453,-0.206578888549494,-0.809045278869354,7,0,3,0,0,1,0,NA,1.5,7,NA,0.833333333333333,NA,0.001,NA,0.001,NA,0.5,NA,6.001,NA,0.001,NA,0.999857183661811,NA,4.001,0.001,0.9995004995005,12.004,NA,0.004,NA,0.999733475479744,NA,0,-2.62696335078534,2.3651832460733,1.09031413612565,0,1,1,2
0,72,NA,-0.379452701689153,-0.0272209988130623,-0.828527625604294,10,0,6,0,0,2,0,NA,1.81818181818182,10,NA,0.857142857142857,NA,0.001,NA,0.001,NA,0.5,NA,10.001,NA,0.001,NA,0.999923088755576,NA,1.001,0.001,0.999800079968013,23.004,NA,0.004,NA,0.999851895734597,NA,0,-2.62696335078534,5.3651832460733,2.09031413612565,1,1,0,5
0,32,39,-0.191871147004326,-0.556496477580491,1.58572672150924,7,1,0,1,0,3,3,2,2.2,6,5,0.636363636363636,1,5.001,2,0.001,2,0.999800079968013,0.5,2.001,6,0.001,0,0.9995004995005,1,4.001,0.001,0.999833388870377,14.004,14,0.004,4,0.999692496924969,0.769230769230769,0,-1.62696335078534,-2.6348167539267,-0.909685863874345,0,0,0,3
0,62,NA,0.0486418680627889,-0.0894080156776559,-1.19365774823635,11,2,2,0,2,3,1,2,2.8,9,NA,0.6,NA,3.001,NA,0.001,NA,0.99966688874084,NA,5.001,NA,0.001,NA,0.999800079968013,NA,4.001,0.001,0.9995004995005,14.004,NA,0.004,NA,0.999733475479744,NA,0,-2.62696335078534,3.3651832460733,1.09031413612565,1,0,-1,3
0,46,54,-0.347718714582062,-1.00241944034806,-0.0944391648680812,6,2,1,0,0,1,0,2,2,4,3,1,1,2.001,3,0.001,0,0.428591830905456,1,4.001,2,0.001,1,0.999750124937531,0.75,0.001,0.001,0.999750124937531,10.004,8,0.004,3,0.999600319744205,0.714285714285714,0,-2.12696335078534,0.365183246073299,0.0903141361256545,0,-1,-1,0
0,56,NA,-0.32958778752653,-0.283864295521636,-0.508336872287476,11,1,2,0,0,6,0,4,1.57142857142857,10,NA,0.714285714285714,NA,0.001,NA,0.001,NA,0.5,NA,10.001,NA,0.001,NA,0.999900019996001,NA,2.001,0.001,0.99966688874084,17.004,NA,0.004,NA,0.999750124937531,NA,0,-0.62696335078534,1.3651832460733,2.09031413612565,0,1,1,4
1,37,37,-0.309251705012273,-0.233766629490612,0.959865660802127,8,0,1,0,0,5,1,NA,1.75,8,10,0.714285714285714,1,3.001,1,0.001,0,0.99966688874084,1,8.001,3,0.001,1,0.99987503124219,0.75,4.001,0.001,0.9995004995005,12.004,23,0.004,2,0.999714448886351,0.833333333333333,0,-0.12696335078534,-4.6348167539267,-2.90968586387435,1,0,-1,5
