"id_Questionaire","n","hh_income","hh_remit","hh_pension","hh_crops","hh_rents","total_income","labor_migrant_hh_total"
"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4",7,0,30000,0,0,0,30000,5
"001E4F9D-80A6-E445-B3FC-2A5C6B336D10",8,2000,0,0,0,0,2000,5
"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5",9,50000,15000,0,500,0,65500,4
"0178768C-E351-7843-A226-C6984596E710",4,2200,0,600,0,0,2800,0
"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD",7,60500,0,0,0,0,60500,4
"030EA194-651A-8946-941E-206CC63BCAEB",9,20000,20000,0,0,0,40000,6
"03109834-AB70-5743-8083-93570FA8DAE8",5,6000,0,0,0,0,6000,1
"03235896-F110-DC47-AD4A-9E8250B2B93D",7,49000,0,0,1166.66666666667,0,50166.6666666667,3
"036B1777-78F2-0140-9036-51546D9271E1",10,50000,30000,0,0,0,80000,1
"03D1EE2F-AAEB-7443-89FA-25C9B8C64A19",10,12500,0,0,0,0,12500,3
"03E5D296-CE95-412A-8830-E2E14DA84844",10,13500,3000,300,833.333333333333,0,17633.3333333333,11
"04337336-BCF5-1449-8E35-EBFF3AAE55CE",5,10500,0,0,0,0,10500,0
"048AA5B0-AA47-6B41-A1D1-050BB85D70FD",8,36000,27000,0,0,0,63000,6
"04953CAB-14FB-2A44-8AAB-9348634CE657",5,25000,0,0,0,0,25000,2
"0542540B-4CD8-0547-8B67-9916E3E1102F",6,32000,0,0,0,0,32000,3
"05973754-27A6-1E4F-96B5-1AD53A56B667",5,102000,40000,0,0,0,142000,3
"05C58388-D7A4-6843-B3F1-C8F975C3D744",6,6000,0,0,291.666666666667,0,6291.66666666667,2
"074D35F8-C3D8-1D4F-BCA2-A3BB1E97E4EE",13,23000,15000,600,2083.33333333333,0,40683.3333333333,11
"07912EE6-0285-4048-9223-1B307628C02E",10,90000,0,300,250,0,90550,9
"07D320AF-3E76-1A43-88F4-2FC765780D48",5,35000,10000,0,0,0,45000,4
"086650F0-9323-AC45-8619-68599A4BE2ED",9,26000,5000,0,0,0,31000,2
"088850A9-DE8C-7349-932E-E1E370A38076",4,15000,0,0,0,0,15000,1
"08B360C1-D860-FA4E-952A-945A3446D9D1",7,1800,0,0,0,0,1800,4
"08C490B8-8D54-A647-853F-31C05F5B472F",5,0,5000,0,1666.66666666667,0,6666.66666666667,1
"094D6542-1E2E-8948-A91F-61E5CC5A221E",7,25000,20000,0,0,0,45000,5
"09A1E8E3-FCEA-B448-82D5-66C63802F970",10,10000,3000,0,8333.33333333333,0,21333.3333333333,1
"09D5EFC6-947E-D648-B633-169D3A6255F8",4,10500,0,0,1333.33333333333,25000,36833.3333333333,1
"09DED313-18D4-394F-A9C2-50E410FE17F7",6,15000,0,0,1458.33333333333,0,16458.3333333333,0
"0A5A3A45-A382-EF4A-A7CD-7C8FB446FC91",14,0,35000,0,4166.66666666667,0,39166.6666666667,9
"0AD825DB-3DD8-8C43-8EDE-CF030F6098EF",5,12000,0,0,0,0,12000,4
"0ADE1685-655F-754F-A83E-4B72CECB364A",6,20000,15000,0,0,0,35000,1
"0BC68E77-B5B5-9849-9D16-EE9778C77915",8,45000,50000,0,833.333333333333,0,95833.3333333333,5
"0C13009C-8F36-2143-9C73-C67CB5EF153C",5,24000,1000,0,0,0,25000,2
"0C2C4CE0-F13F-8A4A-B9DD-C8FFC2E6B968",10,60000,0,0,0,0,60000,1
"0C662831-52DD-1041-96F2-CDBE6A6201E0",10,36000,10000,0,0,0,46000,8
"0D0EFB1D-95F7-F24F-AAF6-A9B971C687BB",6,6000,0,0,3750,0,9750,1
"0D554B9D-B2DF-854F-B137-FADDAEC745CF",15,70000,5000,10000,0,0,85000,0
"0D7AB5CE-5901-964C-8D88-795B4B2B0912",8,35000,55000,0,1666.66666666667,0,91666.6666666667,5
"0DB81420-7024-084E-8DA0-7D1437E1A811",11,16000,25000,0,2500,0,43500,8
"0E00593C-28D3-3843-BF1D-6FEE2D742AFA",8,15000,0,650,0,0,15650,1
"0E2849BB-373F-704C-AE53-72C2ACD925D0",9,9100,7000,0,333.333333333333,0,16433.3333333333,3
"0E300876-4672-8C41-8707-85A661E29E63",10,36000,16000,0,0,0,52000,13
"0E3761BC-9733-9E49-84DC-09D31528F47C",9,24000,10000,0,416.666666666667,0,34416.6666666667,6
"0E726AFA-C218-F548-864F-86C40E9B4639",9,36000,0,0,8.33333333333333,200,36208.3333333333,0
"0E92ECE0-A7B9-6846-9720-3429EEEEE532",17,0,50000,0,0,0,50000,6
"0F4219CA-3684-D844-8EF6-10B9603B6955",5,30000,10000,0,0,0,40000,2
"1038A9EF-81CE-7848-BF09-47630858C071",8,6027,15000,0,1416.66666666667,0,22443.6666666667,1
"103B32D5-58EA-264B-AA97-207D1911AE21",6,13000,3000,0,833.333333333333,0,16833.3333333333,8
"107B6230-1C4C-0D43-ABC9-8389C924D1AD",10,12000,50000,0,1666.66666666667,0,63666.6666666667,5
