"id","spouse_id","couple_id","idwife","idhusband","sex","religion","skilledWork","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","No_in_hh","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","travel_in_bangladesh","labor_migrant_bari_in_bangladesh","yearOfBirth","ageAtDeath_w","maritalStatus","mainOccupation_w","edulevel_years_of_education_values_0to19__blank_is_dont_know_w","inschool_w","educationmedium_w","husband_occupation_w","husband_years_education_w","husband_in_school_w","husband_ed_medium_w","relocate_MI_h","institutionloan_vs_other_w","foodSourceNow_h","skilledWork_h","MacArthurLadderPresent_h","MacArthurLadderTelephonePresent_h","listenRadio_h","useInternet_h","yearOfBirth_h","mainOccupation_h","travel_in_bangladesh_h","travel_abroad_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","total_income_h"
"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4","0",1,"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4",NA,0,"ISLAM",0,1,"all from bazar",652800,7,30000,5,"average",6,0,0,15,15,15,10,90,60,90,180,15,20,12,14,1953,0,4,18,0,"No","No educaiton",1,2,"No","Bangla",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001E4F9D-80A6-E445-B3FC-2A5C6B336D10","0",2,"001E4F9D-80A6-E445-B3FC-2A5C6B336D10",NA,0,"ISLAM",0,1,"all from bazar",215400,8,2000,5,"less",1,0,0,10,30,30,10,30,40,20,240,20,40,3,9,1954,0,3,10,0,"0","0",0,0,"No","No educaiton",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5","18776E1E-8C64-F047-987A-49F74B8D808E",27,"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5","18776E1E-8C64-F047-987A-49F74B8D808E",0,"ISLAM",0,1,"all from bazar",353000,9,65500,4,"more",10,0,4,5,25,25,10,30,30,10,210,10,30,8,2,1964,0,2,18,5,"No","Bangla",9,9,"No","Bangla",0,0,"75 percent from own work",0,5,0,0,0,1961,1,7,0,0,0,0,27000
"015D90CB-26FF-A74B-8727-25D9D046530A","1171BC0A-57BF-544D-A9BD-6FCDDC194F8B",17,"1171BC0A-57BF-544D-A9BD-6FCDDC194F8B","015D90CB-26FF-A74B-8727-25D9D046530A",1,"ISLAM",0,2,"75 percent from own work",117784,6,25666.66667,0,"less",1,0,0,10,30,90,15,15,60,60,240,15,15,12,4,1961,0,2,18,0,"No","No educaiton",2,0,"0","0",0,0,"50 percent from own work",0,2,0,0,0,1961,10,6,0,8400,0,1,10000
"016A9229-47B8-FA48-8923-5B5942062E72","546D3E99-49A8-6E41-97FD-DADA7082B3A8",151,"546D3E99-49A8-6E41-97FD-DADA7082B3A8","016A9229-47B8-FA48-8923-5B5942062E72",1,"ISLAM",0,1,"all from bazar",353320,7,55700,0,"more",6,0,0,20,15,15,5,10,5,10,180,7,20,20,5,1959,0,2,21,14,"No","Bangla",9,14,"No","Bangla",0,0,"all from bazar",0,6,0,0,0,1959,9,8,3,900,1,1,52000
"017518A6-D5AA-2C46-8729-4D48B8F0A6CE","7B51E657-9E5B-4941-BC84-DB0F741B6E1D",275,"7B51E657-9E5B-4941-BC84-DB0F741B6E1D","017518A6-D5AA-2C46-8729-4D48B8F0A6CE",1,"ISLAM",0,1,"all from bazar",344300,4,12000,0,"more",8,0,0,10,0,120,20,30,60,30,180,20,30,12,16,1950,0,2,18,8,"No","Bangla",0,14,"No","Bangla",1,0,"all from bazar",0,5,0,0,0,1950,10,9,0,1800,0,0,12500
"0178768C-E351-7843-A226-C6984596E710","5B93AB69-4195-F94A-A75A-ECD1B271FD1F",172,"0178768C-E351-7843-A226-C6984596E710","5B93AB69-4195-F94A-A75A-ECD1B271FD1F",0,"HINDU",1,1,"all from bazar",149225,4,2800,0,"average",5,0,0,15,30,30,15,30,60,30,150,5,30,15,32,1987,0,2,10,9,"No","Bangla",10,10,"No","Bangla",1,0,"all from bazar",0,5,0,0,0,1974,10,4,1,3600,0,0,23700
"01E73340-1692-CF48-AB0E-09833DEF3BEC","6749B5E5-8843-BD4B-94A5-6C5E10B0CD54",203,"6749B5E5-8843-BD4B-94A5-6C5E10B0CD54","01E73340-1692-CF48-AB0E-09833DEF3BEC",1,"ISLAM",0,1,"75 percent from own work",177875,8,26666.66667,1,"less",6,0,0,20,60,60,10,25,60,15,150,20,60,1,3,1971,0,2,18,0,"No","No educaiton",1,0,"0","0",0,1,"75 percent from own work",0,4,0,0,0,1971,2,6,0,600,0,1,23000
"0200D07A-7E2D-4FBE-9643-3FA1D0C49874","ED522F37-A3EE-AE46-A377-9BDC3C3D09AE",677,"ED522F37-A3EE-AE46-A377-9BDC3C3D09AE","0200D07A-7E2D-4FBE-9643-3FA1D0C49874",1,"ISLAM",0,1,"all from bazar",670775,6,36600,1,"average",4,0,0,20,5,5,3,10,30,10,210,5,5,15,20,1971,0,2,10,14,"No","Bangla",9,14,"No","Bangla",0,0,"all from bazar",0,5,0,0,0,1971,9,10,2,0,1,1,45000
"0202845C-7E38-0543-B03D-3E80217C7E15","B5E6E374-B841-0442-8DDC-B7C7B9C60BCC",454,"B5E6E374-B841-0442-8DDC-B7C7B9C60BCC","0202845C-7E38-0543-B03D-3E80217C7E15",1,"ISLAM",1,1,"all from bazar",239080,5,13500,0,"less",3,0,0,2,0,60,5,3,60,90,300,5,30,2,12,1982,0,2,18,3,"No","Bangla",23,1,"No","Don't know",1,1,"all from bazar",0,3,0,0,0,1982,23,6,0,900,0,1,10000
"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD","77C3039A-7EC7-CF40-989F-17A41D4A62D4",263,"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD","77C3039A-7EC7-CF40-989F-17A41D4A62D4",0,"HINDU",0,1,"all from bazar",319820,7,60500,4,"average",5,0,0,10,90,90,15,45,30,45,240,5,45,14,0,1965,0,2,18,1,"No","Bangla",5,0,"0","0",0,0,"all from bazar",0,5,0,0,0,1965,9,9,2,900,0,0,35000
"030EA194-651A-8946-941E-206CC63BCAEB","B3E99AC9-E247-014B-B214-5F74B1D3F141",448,"030EA194-651A-8946-941E-206CC63BCAEB","B3E99AC9-E247-014B-B214-5F74B1D3F141",0,"ISLAM",0,1,"all from bazar",231025,9,40000,6,"less",4,0,2,10,30,30,10,10,120,120,180,10,10,6,20,1965,0,2,18,1,"No","Bangla",0,5,"No","Bangla",0,0,"all from bazar",1,5,0,0,2,1957,10,9,0,900,0,0,20000
