"idwife","couple_id","idhusband","sex","age_wife","age_h","MI_geo_proximity","MI_economic_capital","MI_human_capital","NW_total","non_rels","parents_kids","pat_rels","mat_rels","in_laws","far_rels","geo_distance_non_rels","geo_distance_rels","rels_in_NW","rels_in_NW_h","percent_rels_in_NW","percent_rels_in_NW_h","rels_econ_help","rels_econ_help_h","non_rels_econ_help","non_rels_econ_help_h","percent_rels_econ_help","percent_rels_econ_help_h","emot_support_rels","emot_support_rels_h","emot_support_non_rels","emot_support_non_rels_h","percent_rels_emot_support","percent_rels_emot_support_h","childcare_help_rels","childcare_help_non_rels","childcare_help_rels_percent","overall_help_rels","overall_help_rels_h","overall_help_non_rels","overall_help_non_rels_h","percent_overall_help_rels","percent_overall_help_rels_h","religion","religious_knowledge_scale","hh_total","kids_in_hh","familyBariReligiousBefore","familyBariReligiousAfter","religious_change","R_NUM_SIBS","SIBS_DUMMY"
"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4",1,NA,0,65,NA,-0.324300938539895,1.53116766723484,-1.08503387547425,10,3,2,0,0,2,0,3.66666666666667,1.75,7,NA,0.571428571428571,NA,3.001,NA,0.001,NA,0.99966688874084,NA,5.001,NA,0.001,NA,0.999800079968013,NA,3.001,0.001,0.99966688874084,13.004,NA,0.004,NA,0.999692496924969,NA,0,0.87303664921466,-0.634816753926701,-0.909685863874345,1,1,0,6,1
"001E4F9D-80A6-E445-B3FC-2A5C6B336D10",2,NA,0,64,NA,-0.284017405544982,-0.700507490375811,-1.0167609009388,3,1,0,0,0,0,2,1,1.5,2,NA,1,NA,0.001,NA,1.001,NA,0.000998003992015968,NA,3.001,NA,2.001,NA,0.599960015993603,NA,2.001,1.001,0.66655562958028,7.004,NA,4.004,NA,0.636264534883721,NA,0,-2.62696335078534,0.365183246073299,0.0903141361256545,0,-1,-1,3,1
"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5",27,"18776E1E-8C64-F047-987A-49F74B8D808E",0,54,57,-0.169237015945923,1.21623626661862,0.194416411254826,9,0,7,0,0,0,1,NA,2.5,9,8,0.888888888888889,1,0.001,4,0.001,0,0.5,1,8.001,10,0.001,0,0.99987503124219,1,4.001,0.001,0.999750124937531,15.004,21,0.004,3,0.999733475479744,0.875,0,-0.62696335078534,1.3651832460733,1.09031413612565,1,1,0,5,1
"1171BC0A-57BF-544D-A9BD-6FCDDC194F8B",17,"015D90CB-26FF-A74B-8727-25D9D046530A",1,57,57,-0.206337619067195,-1.18914841288095,-0.645633698582728,12,1,5,0,0,0,4,2,1.55555555555556,11,5,0.818181818181818,1,4.001,1,1.001,0,0.799880047980808,1,7.001,1,0.001,3,0.999857183661811,0.25,4.001,0.001,0.999750124937531,18.004,8,1.004,8,0.947180134680135,0.5,0,-2.62696335078534,-1.6348167539267,-1.90968586387435,0,0,0,3,1
"546D3E99-49A8-6E41-97FD-DADA7082B3A8",151,"016A9229-47B8-FA48-8923-5B5942062E72",1,59,59,0.423680632124299,1.10049178368846,1.51313001390687,10,3,4,0,0,1,1,2.33333333333333,1.66666666666667,7,7,0.857142857142857,1,1.001,6,2.001,2,0.33344437041972,0.75,6.001,10,0.001,2,0.999833388870377,0.833333333333333,3.001,0.001,0.99966688874084,10.004,26,2.004,7,0.83311125916056,0.787878787878788,0,0.87303664921466,-0.634816753926701,-0.909685863874345,1,1,0,5,1
"7B51E657-9E5B-4941-BC84-DB0F741B6E1D",275,"017518A6-D5AA-2C46-8729-4D48B8F0A6CE",1,68,68,-0.385148013971144,0.702988246957688,0.459784793889015,9,0,3,0,0,3,0,NA,1.5,9,6,0.666666666666667,1,0.001,1,0.001,0,0.5,1,5.001,4,0.001,2,0.999800079968013,0.666666666666667,0.001,0.001,0.5,6.004,10,0.004,3,0.999334221038615,0.769230769230769,0,0.87303664921466,-3.6348167539267,-1.90968586387435,0,1,1,9,1
"0178768C-E351-7843-A226-C6984596E710",172,"5B93AB69-4195-F94A-A75A-ECD1B271FD1F",0,31,44,-0.281812170751932,-0.477688151223051,1.81133241926919,14,1,2,0,0,9,0,3,1.81818181818182,13,12,0.846153846153846,1,2.001,4,0.001,0,0.9995004995005,1,10.001,5,0.001,0,0.999900019996001,1,4.001,0.001,0.999750124937531,21.004,17,0.004,7,0.99980959634425,0.708333333333333,1,10.3730366492147,-3.6348167539267,-3.90968586387435,0,1,1,4,1
"6749B5E5-8843-BD4B-94A5-6C5E10B0CD54",203,"01E73340-1692-CF48-AB0E-09833DEF3BEC",1,47,47,-0.369354184214852,-0.416907673951902,-0.431012571097177,9,0,4,0,0,0,4,NA,2,9,7,0.888888888888889,1,6.001,5,0.001,0,0.999833388870377,1,3.001,5,0.001,0,0.99966688874084,1,5.001,0.001,0.999800079968013,17.004,16,0.004,1,0.999764816556914,0.941176470588235,0,-2.62696335078534,0.365183246073299,2.09031413612565,0,-1,-1,0,0
"ED522F37-A3EE-AE46-A377-9BDC3C3D09AE",677,"0200D07A-7E2D-4FBE-9643-3FA1D0C49874",1,47,47,0.534700007220217,1.77287513834572,1.84859028405089,14,7,5,0,0,0,0,2.14285714285714,2.2,7,10,0.714285714285714,1,0.001,1,3.001,2,0.00033311125916056,0.333333333333333,6.001,1,3.001,5,0.666629637858254,0.166666666666667,2.001,1.001,0.66655562958028,12.004,9,7.004,12,0.631523569023569,0.428571428571429,0,3.87303664921466,-1.6348167539267,-0.909685863874345,1,0,-1,4,1
"B5E6E374-B841-0442-8DDC-B7C7B9C60BCC",454,"0202845C-7E38-0543-B03D-3E80217C7E15",1,36,36,0.676571578232415,-0.639218157201408,0.297255048726862,14,0,6,0,0,5,1,NA,2.33333333333333,14,6,0.857142857142857,1,6.001,2,0.001,0,0.999833388870377,1,8.001,5,0.001,0,0.99987503124219,1,6.001,0.001,0.999833388870377,24.004,13,0.004,2,0.999833388870377,0.866666666666667,0,-2.62696335078534,-2.6348167539267,-0.909685863874345,-1,0,1,5,1
"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD",263,"77C3039A-7EC7-CF40-989F-17A41D4A62D4",0,53,53,-0.278179354367336,0.18817396031689,-0.649065478121399,11,1,7,0,0,1,1,2,2.44444444444444,10,1,0.9,1,6.001,0,0.001,3,0.999833388870377,0,11.001,0,0.001,8,0.999909107435012,0,4.001,0.001,0.999750124937531,21.004,1,0.004,25,0.99980959634425,0.0384615384615385,1,7.37303664921466,-0.634816753926701,1.09031413612565,0,0,0,6,1
"030EA194-651A-8946-941E-206CC63BCAEB",448,"B3E99AC9-E247-014B-B214-5F74B1D3F141",0,53,61,-0.01543539694099,0.162678213027826,-0.55245914897821,11,2,4,0,0,2,0,3,2.33333333333333,9,3,0.666666666666667,1,2.001,0,0.001,3,0.9995004995005,0,10.001,4,0.001,4,0.999900019996001,0.5,4.001,0.001,0.999750124937531,21.004,7,0.004,13,0.99980959634425,0.35,0,-0.62696335078534,1.3651832460733,-0.909685863874345,1,1,0,6,1
"03109834-AB70-5743-8083-93570FA8DAE8",191,"61F59CD7-AB2E-7C41-BF2A-E28F35E23200",0,46,48,-0.112214324164539,-0.891092991740425,0.422023824490762,8,0,3,0,0,3,1,NA,2,8,7,0.875,1,3.001,3,0.001,0,0.99966688874084,1,9.001,9,0.001,0,0.999888913574761,1,2.001,0.001,0.9995004995005,17.004,21,0.004,2,0.999764816556914,0.91304347826087,0,-2.12696335078534,-2.6348167539267,-0.909685863874345,0,1,1,7,1
"03235896-F110-DC47-AD4A-9E8250B2B93D",3,NA,0,60,NA,-0.0814982143223293,-0.277739256974477,-0.463206784134918,6,0,0,2,0,4,0,NA,2,6,NA,1,NA,0.001,NA,0.001,NA,0.5,NA,2.001,NA,0.001,NA,0.9995004995005,NA,2.001,0.001,0.9995004995005,6.004,NA,0.004,NA,0.999334221038615,NA,1,3.37303664921466,-0.634816753926701,-0.909685863874345,0,0,0,7,1
"036B1777-78F2-0140-9036-51546D9271E1",396,"A503409A-E351-8447-A922-1CF8638DD2DC",0,55,60,-0.195817279634315,1.83922039331217,-0.205531698073088,7,0,6,0,0,1,0,NA,1.42857142857143,7,9,1,1,0.001,5,0.001,1,0.5,0.833333333333333,7.001,8,0.001,1,0.999857183661811,0.888888888888889,2.001,0.001,0.9995004995005,11.004,20,0.004,2,0.999636627906977,0.909090909090909,0,-1.12696335078534,2.3651832460733,2.09031413612565,0,1,1,6,1
"41B6B1F2-EC9F-4B48-BC80-62D04DBDA9CA",109,"03700B6C-520B-5F4E-B2D7-353FB9E41018",1,61,61,0.943665095260383,1.42865322323041,0.119570802898502,10,1,4,1,0,3,0,3,1.625,9,7,0.888888888888889,1,3.001,2,0.001,0,0.99966688874084,1,3.001,4,0.001,0,0.99966688874084,1,5.001,0.001,0.999800079968013,14.004,12,0.004,0,0.999714448886351,1,0,-0.12696335078534,3.3651832460733,2.09031413612565,1,1,0,4,1
"03D1EE2F-AAEB-7443-89FA-25C9B8C64A19",4,NA,0,62,NA,-0.0643995391572487,-0.797285796164209,-0.868740264516187,4,0,3,0,0,0,1,NA,1.25,4,NA,1,NA,1.001,NA,0.001,NA,0.999001996007984,NA,5.001,NA,0.001,NA,0.999800079968013,NA,0.001,0.001,0.5,8.004,NA,0.004,NA,0.9995004995005,NA,0,-2.62696335078534,2.3651832460733,0.0903141361256545,0,0,0,0,0
"03E5D296-CE95-412A-8830-E2E14DA84844",362,"9A6ED3CA-B21C-D245-BAED-A28DAD42C43C",0,62,63,-0.244217175415271,0.174735768528384,-0.704198033477011,18,2,4,0,0,6,2,2.5,2,16,11,0.75,1,5.001,4,0.001,0,0.999800079968013,1,8.001,3,0.001,0,0.99987503124219,1,2.001,0.001,0.9995004995005,17.004,14,0.004,0,0.999764816556914,1,0,-2.12696335078534,2.3651832460733,1.09031413612565,1,1,0,8,1
"04337336-BCF5-1449-8E35-EBFF3AAE55CE",5,NA,0,41,NA,-0.260668596542723,-1.21391294090079,0.439272103725891,11,1,2,0,0,7,0,2,1.66666666666667,10,NA,0.9,NA,6.001,NA,0.001,NA,0.999833388870377,NA,8.001,NA,0.001,NA,0.99987503124219,NA,6.001,0.001,0.999833388870377,24.004,NA,0.004,NA,0.999833388870377,NA,0,0.37303664921466,-2.6348167539267,-0.909685863874345,0,0,0,4,1
"3718CFBB-6898-465A-AF57-B2808ACA7B64",85,"0463400E-A1C2-224E-8325-2E430A6ABB77",1,57,57,0.91925271155507,-0.521640362237338,0.72604516769193,25,13,3,1,3,0,2,2.07692307692308,2.22222222222222,12,1,0.75,1,3.001,0,3.001,1,0.5,0,7.001,2,6.001,0,0.538455622211967,1,3.001,2.001,0.599960015993603,15.004,3,13.004,5,0.535704084547272,0.375,1,-2.62696335078534,2.3651832460733,1.09031413612565,0,1,1,3,1
"048AA5B0-AA47-6B41-A1D1-050BB85D70FD",6,NA,0,53,NA,0.219559894765478,-0.0014143888140667,0.226606576934815,10,2,3,0,0,4,0,3,2.57142857142857,8,NA,0.875,NA,5.001,NA,2.001,NA,0.714224507283633,NA,5.001,NA,0.001,NA,0.999800079968013,NA,3.001,0.001,0.99966688874084,15.004,NA,2.004,NA,0.882173095014111,NA,0,0.87303664921466,0.365183246073299,-0.909685863874345,1,1,0,7,1
"04953CAB-14FB-2A44-8AAB-9348634CE657",457,"B6003560-C93D-9043-BECD-92736CBE9AF8",0,46,51,-0.0686727318703988,0.449618865744096,0.529611223586549,9,1,3,0,0,5,0,2,2.375,8,7,1,1,6.001,1,0.001,1,0.999833388870377,0.5,6.001,6,0.001,0,0.999833388870377,1,4.001,0.001,0.999750124937531,18.004,12,0.004,1,0.999777876499334,0.923076923076923,0,0.37303664921466,-2.6348167539267,-0.909685863874345,1,1,0,4,1
"B667401A-267E-734D-B43E-866C1D352677",460,"04E00B0C-3CD2-5F46-BE7F-DA6CF40DCF65",1,56,56,-0.133015311606835,-0.207292460172283,-0.970953079014731,4,3,1,0,0,0,0,2,1,1,7,1,1,0.001,11,5.001,0,0.000199920031987205,1,1.001,7,1.001,2,0.5,0.777777777777778,0.001,0.001,0.5,1.004,24,8.004,6,0.11145648312611,0.8,0,-1.62696335078534,0.365183246073299,2.09031413612565,-1,0,1,0,0
"0542540B-4CD8-0547-8B67-9916E3E1102F",123,"49EE0A30-FC1F-8943-BDC4-5D0CDCCC1790",0,44,47,-0.109468180981853,-0.515714862772211,-0.342747416821322,10,0,1,0,4,4,0,NA,2.33333333333333,10,6,0.9,1,6.001,6,0.001,0,0.999833388870377,1,5.001,4,0.001,1,0.999800079968013,0.8,3.001,0.001,0.99966688874084,18.004,17,0.004,10,0.999777876499334,0.62962962962963,0,-0.62696335078534,-1.6348167539267,-0.909685863874345,0,1,1,4,1
"05973754-27A6-1E4F-96B5-1AD53A56B667",579,"D2CFF3E7-88E0-0F43-9297-E31D9F931DBF",0,49,58,0.0445929175639671,1.98116310143286,1.11244344711469,13,6,5,1,0,0,0,2.16666666666667,3.33333333333333,7,5,0.857142857142857,1,1.001,4,4.001,2,0.200119952019192,0.666666666666667,5.001,3,8.001,6,0.384633133364098,0.333333333333333,2.001,0.001,0.9995004995005,10.004,11,14.004,14,0.416694435188271,0.44,0,2.87303664921466,-2.6348167539267,-0.909685863874345,1,1,0,11,1
"05C58388-D7A4-6843-B3F1-C8F975C3D744",119,"4856779A-5560-3B46-AD7E-E9D397D0F931",0,38,47,-0.112142195706779,-0.316508012895933,1.75631991900622,6,0,3,0,0,2,1,NA,2,6,7,1,1,2.001,1,0.001,0,0.9995004995005,1,3.001,3,0.001,0,0.99966688874084,1,2.001,0.001,0.9995004995005,10.004,9,0.004,4,0.999600319744205,0.692307692307692,0,-0.62696335078534,-1.6348167539267,-0.909685863874345,0,1,1,0,0
"4B45F529-6DB8-9743-B1E4-9081B85D1317",129,"0638F7C6-FAB6-A746-A1A4-B920CB99F867",1,48,48,0.498159081695976,-0.220193331190973,0.840938772734193,8,0,3,0,1,0,3,NA,1.85714285714286,8,10,0.875,1,0.001,11,0.001,0,0.5,1,8.001,5,0.001,0,0.99987503124219,1,2.001,0.001,0.9995004995005,13.004,25,0.004,4,0.999692496924969,0.862068965517241,1,4.37303664921466,-3.6348167539267,-1.90968586387435,1,0,-1,3,1
"B019DBE8-33AA-1F48-B9BE-7085D6C4FCE8",429,"0735734C-28FA-5C49-B3B3-4BC30C9EFE0C",1,45,45,-0.245341640188999,-0.201128521122366,0.401095403753411,12,3,3,0,0,2,2,2,2.14285714285714,9,6,0.777777777777778,1,3.001,2,2.001,4,0.599960015993603,0.333333333333333,6.001,9,1.001,2,0.857040845472722,0.818181818181818,4.001,0.001,0.999750124937531,14.004,16,3.004,9,0.823377234242709,0.64,1,1.37303664921466,-1.6348167539267,-0.909685863874345,-1,1,2,2,1
"71B7065A-A684-5640-9D11-8C420CAED24E",233,"0735D547-A42C-5D41-9FE1-9625A30CECFF",1,54,54,-0.304155452760769,-0.162923279413352,0.145840951511459,10,0,2,0,2,5,0,NA,2.11111111111111,10,4,0.9,1,4.001,3,0.001,5,0.999750124937531,0.375,5.001,1,0.001,6,0.999800079968013,0.142857142857143,2.001,0.001,0.9995004995005,13.004,9,0.004,22,0.999692496924969,0.290322580645161,0,3.87303664921466,-0.634816753926701,0.0903141361256545,0,0,0,3,1
