ï..pid_a,idwife_a,idhusband,child_id,Respondent_a,gender_F0_M1_a,Age_a,Kids_a,Mothers_kids_a,Fathers_kids_a,years_of_education_a,years_education_spouse_a,years_education_father_a,years_education_mother_a,Fathers_AGE_MAR_a,Mothers_AGE_MAR_a,Parents_AGE_MAR_DIFF_a,Parents_are_rels_yes1_a,incomeTotalMonthly_a,respondent_occupation_ses_a,spouse_occupation_ses_a,mother_occupation_ses_a,father_occupation_ses_a,age_h,MI_geo_proximity,MI_economic_capital,MI_human_capital,NW_total,non_rels,parents_kids,pat_rels,mat_rels,in_laws,far_rels,geo_distance_non_rels,geo_distance_rels,rels_in_NW,percent_rels_in_NW,rels_econ_help,non_rels_econ_help,percent_rels_econ_help,emot_support_rels,emot_support_non_rels,percent_rels_emot_support,childcare_work_help_rels,childcare_work_help_non_rels,childcare_work_help_rels_percent,overall_help_rels,overall_help_non_rels,percent_overall_help_rels,familyBariReligiousAfter,religion,religious_knowledge_scale_women,religious_knowledge_scale_men,hh_total,HH_members,Birth_hh_size,inschool,wifes_education2,husbands_education,R_AGE_MAR,H_AGE_MAR,AGE_MAR_DIFF,Respondents_parents_rels_yes1,Husbands_parents_rels_yes1,Respondent_and_spouse_rels_yes1,R_AN_INC,R_Parents_AN_INC,Spouses_Parents_AN_INC,Current_Family_AN_INC,kids2,WEALTH_TOTAL_VAL,total_income,FamilyBariSocialSizeBefore,familyBariSocialSizeAfter,familyBariSocialclassBefore,familyBariSocialClassAfter,familyBariPoliticalBefore,familyBariPoliticalAfter,MacArthurLadderPresent,MacArthurLadderPast,HF_EDU,HM_EDU,SM1_fathers_education,SM2_mothers_education,SM3_fathers_to_spouse_education,SM4_mothers_to_spouse_education,SM5_fathers_ses,SM6_mothers_ses,SM7_fathers_to_spouse_ses,SM8_mothers_to_spouse_ses,SM9_Income_family_to_spouses_family,SM10_Income_family_to_parents,SM11_MacarthurLadder,SM12_SocialClass,SM13_PoliticalClass,SM14_SocialNWSize,religious_pilgrimmage,religious_education
3788,1171BC0A-57BF-544D-A9BD-6FCDDC194F8B,015D90CB-26FF-A74B-8727-25D9D046530A,,Husband,1,57,2,8,8,0,0,0,0,NA,NA,NA,NA,NA,0,1,1,1,NA,-0.206337619,-1.189148413,-0.645633699,11,6.01,3,2,0,0,0,2,2,5,1,1,0,1,1,3,0.25,3,0,1,8,8,0.5,0,0,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,117784,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,-1,-1,0,0,25666.66667,0,-1,NA,NA,NA,0,1
3913,546D3E99-49A8-6E41-97FD-DADA7082B3A8,016A9229-47B8-FA48-8923-5B5942062E72,,Husband,1,59,3,4,4,14,14,15,8,NA,NA,NA,NA,NA,2,3,1,3,NA,0.423680632,1.100491784,1.513130014,16,9.01,2,0,2,0,3,2.222222222,2.142857143,7,1,6,2,0.75,10,2,0.833333333,5,0,1,26,7,0.787878788,1,0,4.5,3,7,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,72000,120000,NA,NA,353320,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,6,-1,6,-1,1,0,2,-94333.33333,-72000,2,NA,NA,NA,0,3
4000,7B51E657-9E5B-4941-BC84-DB0F741B6E1D,017518A6-D5AA-2C46-8729-4D48B8F0A6CE,,Husband,1,68,2,11,11,14,8,0,0,NA,NA,NA,NA,NA,0,1,1,1,NA,-0.385148014,0.702988247,0.459784794,12,6.01,1,2,1,1,1,2.333333333,1.833333333,6,1,1,0,1,4,2,0.666666667,0,1,0,10,3,0.769230769,1,0,4.5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,138000,NA,NA,344300,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,8,8,-1,-1,0,0,-112333.3333,0,-1,NA,NA,NA,3,1
3943,6749B5E5-8843-BD4B-94A5-6C5E10B0CD54,01E73340-1692-CF48-AB0E-09833DEF3BEC,,Husband,1,47,6,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,1,1,NA,-0.369354184,-0.416907674,-0.431012571,9,2.01,1,6,0,0,0,2,1.857142857,7,1,5,0,1,5,0,1,1,0,1,16,1,0.941176471,-1,0,1,1,8,6,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,3000,4000,NA,NA,177875,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,0,-1,0,0,0,0,21666.66667,-3000,1,NA,NA,NA,0,1
4208,ED522F37-A3EE-AE46-A377-9BDC3C3D09AE,0200D07A-7E2D-4FBE-9643-3FA1D0C49874,,Husband,1,47,3,2,2,14,14,10,0,NA,NA,NA,NA,NA,2,3,1,1,NA,0.534700007,1.772875138,1.848590284,27,16.01,1,6,0,0,3,3.647058824,3.2,10,1,1,2,0.333333333,1,5,0.166666667,1,2,0.333333333,9,12,0.428571429,0,0,7.5,4,6,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,38500,NA,NA,670775,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,4,14,1,1,2,2,-12833.33333,0,-2,NA,NA,NA,1,3
4106,B5E6E374-B841-0442-8DDC-B7C7B9C60BCC,0202845C-7E38-0543-B03D-3E80217C7E15,,Husband,1,36,3,8,8,1,3,0,0,NA,NA,NA,NA,NA,0,1,1,0,NA,0.676571578,-0.639218157,0.297255049,9,3.01,2,3,1,0,0,2,2.666666667,6,1,2,0,1,5,0,1,0,0,NA,13,2,0.866666667,0,0,1,1,5,3,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,24000,0,NA,NA,239080,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,0,-1,1,0,25666.66667,-24000,1,NA,NA,NA,0,1
3877,41B6B1F2-EC9F-4B48-BC80-62D04DBDA9CA,03700B6C-520B-5F4E-B2D7-353FB9E41018,,Husband,1,61,6,7,7,0,8,0,0,NA,NA,NA,NA,NA,1,1,1,1,NA,0.943665095,1.428653223,0.119570803,13,6.01,1,4,0,2,0,2.166666667,1.857142857,7,1,2,0,1,4,0,1,1,0,1,12,0,1,1,0,3.5,3,11,6,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,20000,73000,NA,NA,445370,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,8,0,0,0,0,-47333.33333,-20000,-1,NA,NA,NA,0,3
3859,3718CFBB-6898-465A-AF57-B2808ACA7B64,0463400E-A1C2-224E-8325-2E430A6ABB77,,Husband,1,57,5,2,2,7,8,0,0,NA,NA,NA,NA,NA,1,1,1,2,NA,0.919252712,-0.521640362,0.726045168,5,4.01,1,0,0,0,0,2,1,1,1,0,1,0,2,0,1,0,0,NA,3,5,0.375,1,1,1,9,10,5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,48000,60000,NA,NA,122462,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8,8,-1,0,-1,0,-34333.33333,-48000,1,NA,NA,NA,2,7
4108,B667401A-267E-734D-B43E-866C1D352677,04E00B0C-3CD2-5F46-BE7F-DA6CF40DCF65,,Husband,1,56,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,1,1,NA,-0.133015312,-0.20729246,-0.970953079,11,4.01,5,1,0,1,0,2.25,3,7,1,11,0,1,7,2,0.777777778,1,0,1,24,6,0.8,0,0,2,4,8,6,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,317125,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,25666.66667,0,-1,NA,NA,NA,3,1
3894,4B45F529-6DB8-9743-B1E4-9081B85D1317,0638F7C6-FAB6-A746-A1A4-B920CB99F867,,Husband,1,48,2,7,7,6,7,0,0,NA,NA,NA,NA,NA,2,1,1,3,NA,0.498159082,-0.220193331,0.840938773,12,2.01,2,5,0,3,0,3,3.2,10,1,11,0,1,5,0,1,1,4,0.2,25,4,0.862068966,0,1,8,2,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,48000,72000,NA,NA,274975,25667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,7,-1,1,-2,0,-46333.33333,-48000,2,NA,NA,NA,0,2
