"id","religion","skilledWork","skilledWorkWhich","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","No_in_hh","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","travel_in_bangladesh","labor_migrant_bari_in_bangladesh","gender","yearOfBirth","ageAtDeath","maritalStatus","mainOccupation","edulevel_years_of_education_values_0to19__blank_is_dont_know","inschool","educationmedium","husband_occupation","husband_years_education","husband_in_school","husband_ed_medium","watchTV_mins_per_month","relocate_MI","bank_vs_micro","institutionloan_vs_other"
"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4","ISLAM",0,"",1,"all from bazar",652800,7,30000,5,"average",6,0,0,15,15,15,10,90,60,90,180,15,20,12,14,"F",1953,0,4,18,0,"No","No educaiton",1,2,"No","Bangla",1800,1,0,0
"001E4F9D-80A6-E445-B3FC-2A5C6B336D10","ISLAM",0,"",1,"all from bazar",215400,8,2000,5,"less",1,0,0,10,30,30,10,30,40,20,240,20,40,3,9,"F",1954,0,3,10,0,"0","0",0,0,"No","No educaiton",0,0,0,0
"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5","ISLAM",0,"",1,"all from bazar",353000,9,65500,4,"more",10,0,4,5,25,25,10,30,30,10,210,10,30,8,2,"F",1964,0,2,18,5,"No","Bangla",9,9,"No","Bangla",0,0,0,0
"0178768C-E351-7843-A226-C6984596E710","HINDU",1,"SHELAI(TAILORING)",1,"all from bazar",149225,4,2800,0,"average",5,0,0,15,30,30,15,30,60,30,150,5,30,15,32,"F",1987,0,2,10,9,"No","Bangla",10,10,"No","Bangla",10800,1,0,0
"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD","HINDU",0,"",1,"all from bazar",319820,7,60500,4,"average",5,0,0,10,90,90,15,45,30,45,240,5,45,14,0,"F",1965,0,2,18,1,"No","Bangla",5,0,"0","0",540,0,0,0
"030EA194-651A-8946-941E-206CC63BCAEB","ISLAM",0,"",1,"all from bazar",231025,9,40000,6,"less",4,0,2,10,30,30,10,10,120,120,180,10,10,6,20,"F",1965,0,2,18,1,"No","Bangla",0,5,"No","Bangla",3600,0,0,0
"03109834-AB70-5743-8083-93570FA8DAE8","ISLAM",1,"WEAVING MATE.",2,"all from bazar",96900,5,6000,1,"less",4,0,0,5,20,20,20,20,50,60,150,5,20,8,18,"F",1972,0,2,18,4,"No","Bangla",4,6,"No","Bangla",0,0,0,0
"03235896-F110-DC47-AD4A-9E8250B2B93D","HINDU",0,"",1,"25 percent from own work",173725,7,50166.6666666667,3,"more",4,0,0,15,30,30,10,45,60,10,180,15,5,21,13,"F",1958,0,4,18,4,"No","Bangla",0,0,"No","No educaiton",1800,0,0,0
"036B1777-78F2-0140-9036-51546D9271E1","ISLAM",0,"",1,"all from bazar",559075,10,80000,1,"more",7,0,0,10,15,15,10,30,40,10,360,10,30,5,6,"F",1963,0,2,18,2,"No","Bangla",0,6,"No","Bangla",900,0,0,0
"03D1EE2F-AAEB-7443-89FA-25C9B8C64A19","ISLAM",0,"",3,"all from bazar",160420,10,12500,3,"average",2,0,0,8,40,40,8,20,20,5,0,10,30,0,0,"F",1956,0,4,18,0,"No","No educaiton",1,0,"No","No educaiton",0,0,0,0
"03E5D296-CE95-412A-8830-E2E14DA84844","ISLAM",0,"",2,"25 percent from own work",298575,10,17633.3333333333,11,"less",3,0,3,10,30,30,20,30,30,50,180,7,30,4,6,"F",1956,0,2,18,5,"No","Bangla",1,0,"No","No educaiton",120,0,0,0
"04337336-BCF5-1449-8E35-EBFF3AAE55CE","ISLAM",1,"HANDY CRAFT",2,"all from bazar",106410,5,10500,0,"average",2,0,0,5,30,30,20,30,30,20,240,20,30,6,8,"F",1977,0,2,18,5,"No","Bangla",12,0,"No","No educaiton",0,0,0,0
"048AA5B0-AA47-6B41-A1D1-050BB85D70FD","ISLAM",1,"PATI- MOILLAH",1,"all from bazar",130965,8,63000,6,"average",3,0,1,2,30,30,5,20,20,10,180,5,20,27,20,"F",1965,0,2,18,5,"No","Bangla",10,6,"No","Bangla",120,1,1,1
"04953CAB-14FB-2A44-8AAB-9348634CE657","ISLAM",0,"",1,"all from bazar",329850,5,25000,2,"average",6,0,0,5,15,15,15,25,25,35,240,5,25,24,7,"F",1972,0,2,18,7,"No","Bangla",9,0,"0","0",1800,0,0,0
"0542540B-4CD8-0547-8B67-9916E3E1102F","ISLAM",0,"",1,"25 percent from own work",165070,6,32000,3,"more",5,0,0,5,30,30,20,30,20,20,120,20,10,6,2,"F",1974,0,2,18,1,"No","Bangla",2,0,"0","0",120,0,0,1
"05973754-27A6-1E4F-96B5-1AD53A56B667","ISLAM",0,"",1,"all from bazar",458140,5,142000,3,"more",7,0,1,20,10,10,5,15,60,10,180,5,15,13,45,"F",1969,0,2,10,12,"No","Bangla",9,12,"No","Bangla",900,0,0,0
