"id","religion","skilledWork","skilledWorkWhich","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","No_in_hh","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","travel_in_bangladesh","labor_migrant_bari_in_bangladesh","gender","yearOfBirth","ageAtDeath","maritalStatus","mainOccupation","edulevel_years_of_education_values_0to19__blank_is_dont_know","inschool","educationmedium","husband_occupation","husband_years_education","husband_in_school","husband_ed_medium","watchTV_mins_per_month","relocate_MI","bank_vs_micro","institutionloan_vs_other","idhusband","foodSourceNow_h","skilledWork_h","MacArthurLadderPresent_h","MacArthurLadderTelephonePresent_h","listenRadio_h","useInternet_h","yearOfBirth_h","mainOccupation_h","travel_in_bangladesh_h","travel_abroad_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","total_income_h"
"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4","ISLAM",0,NA,1,"all from bazar",652800,7,30000,5,"average",6,0,0,15,15,15,10,90,60,90,180,15,20,12,14,"F",1953,0,4,18,0,"No","No educaiton",1,2,"No","Bangla",1800,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"001E4F9D-80A6-E445-B3FC-2A5C6B336D10","ISLAM",0,NA,1,"all from bazar",215400,8,2000,5,"less",1,0,0,10,30,30,10,30,40,20,240,20,40,3,9,"F",1954,0,3,10,0,"0","0",0,0,"No","No educaiton",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5","ISLAM",0,NA,1,"all from bazar",353000,9,65500,4,"more",10,0,4,5,25,25,10,30,30,10,210,10,30,8,2,"F",1964,0,2,18,5,"No","Bangla",9,9,"No","Bangla",0,0,0,0,"18776E1E-8C64-F047-987A-49F74B8D808E","75 percent from own work",0,5,0,0,0,1961,1,7,0,0,0,0,27000
"0178768C-E351-7843-A226-C6984596E710","HINDU",1,"SHELAI(TAILORING)",1,"all from bazar",149225,4,2800,0,"average",5,0,0,15,30,30,15,30,60,30,150,5,30,15,32,"F",1987,0,2,10,9,"No","Bangla",10,10,"No","Bangla",10800,1,0,0,"5B93AB69-4195-F94A-A75A-ECD1B271FD1F","all from bazar",0,5,0,0,0,1974,10,4,1,3600,0,0,23700
"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD","HINDU",0,NA,1,"all from bazar",319820,7,60500,4,"average",5,0,0,10,90,90,15,45,30,45,240,5,45,14,0,"F",1965,0,2,18,1,"No","Bangla",5,0,"0","0",540,0,0,0,"77C3039A-7EC7-CF40-989F-17A41D4A62D4","all from bazar",0,5,0,0,0,1965,9,9,2,900,0,0,35000
"030EA194-651A-8946-941E-206CC63BCAEB","ISLAM",0,NA,1,"all from bazar",231025,9,40000,6,"less",4,0,2,10,30,30,10,10,120,120,180,10,10,6,20,"F",1965,0,2,18,1,"No","Bangla",0,5,"No","Bangla",3600,0,0,0,"B3E99AC9-E247-014B-B214-5F74B1D3F141","all from bazar",1,5,0,0,2,1957,10,9,0,900,0,0,20000
"03109834-AB70-5743-8083-93570FA8DAE8","ISLAM",1,"WEAVING MATE.",2,"all from bazar",96900,5,6000,1,"less",4,0,0,5,20,20,20,20,50,60,150,5,20,8,18,"F",1972,0,2,18,4,"No","Bangla",4,6,"No","Bangla",0,0,0,0,"61F59CD7-AB2E-7C41-BF2A-E28F35E23200","all from bazar",0,5,0,0,0,1970,4,7,3,900,0,1,9000
"03235896-F110-DC47-AD4A-9E8250B2B93D","HINDU",0,NA,1,"25 percent from own work",173725,7,50166.6666666667,3,"more",4,0,0,15,30,30,10,45,60,10,180,15,5,21,13,"F",1958,0,4,18,4,"No","Bangla",0,0,"No","No educaiton",1800,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"036B1777-78F2-0140-9036-51546D9271E1","ISLAM",0,NA,1,"all from bazar",559075,10,80000,1,"more",7,0,0,10,15,15,10,30,40,10,360,10,30,5,6,"F",1963,0,2,18,2,"No","Bangla",0,6,"No","Bangla",900,0,0,0,"A503409A-E351-8447-A922-1CF8638DD2DC","all from bazar",0,5,0,0,0,1958,0,6,1,240,0,0,15000
"03D1EE2F-AAEB-7443-89FA-25C9B8C64A19","ISLAM",0,NA,3,"all from bazar",160420,10,12500,3,"average",2,0,0,8,40,40,8,20,20,5,0,10,30,0,0,"F",1956,0,4,18,0,"No","No educaiton",1,0,"No","No educaiton",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
