"id","spouse_id","couple_id","idwife","idhusband","sex","foodSecurity","foodSourceNow","WEALTH_TOTAL_VAL","total_income","labor_migrant_hh_total","familyBariEducationAfter","MacArthurLadderPresent","listenRadio","useInternet","marketIntegrationPrimarySchoolTime","marketIntegrationHighSchoolTime","marketIntegrationCollegeTime","marketIntegrationSmallBazaarTime","marketIntegrationLargeBazaarTime","marketIntegrationTownTime","marketIntegrationMainRoadTime","marketIntegrationDhakaTime","marketIntegrationPharmacyTime","marketIntegrationMBBSTime","labor_migrant_bari_in_bangladesh","years_of_education_wife","husband_occupation","years_of_education_husband","relocate_MI","institutionloan_vs_other","bank_vs_micro","husbandTravelINBangladesh","wifeTravelINBangladesh","wifeAbroadTravel","husbandAbroadTravel","listenRadio_h","useInternet_h","watchTV_mins_per_month_h","bank_vs_micro_h","institutionloan_vs_other_h","occupation_agriculture_dummy","occupation_mkt_connection","occupation_ses","age_wife","age_h","assetComputer","assetSmartphone","landOwnedFarmAmount","assetElectricity"
"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4","0",1,"0019881D-F4AF-ED46-A9F0-385A7E9C8EC4",NA,0,6,100,652800,30000,5,1,6,0,0,4.0625,5.625,7.5,5.45454545454545,1.31868131868132,2.95081967213115,2.30769230769231,2.65193370165746,11.25,27.3809523809524,14,0,1,2,1,0,0,10,2,0,0,NA,NA,NA,NA,NA,0,0,1,65,NA,0,1,0,1
"001E4F9D-80A6-E445-B3FC-2A5C6B336D10","0",2,"001E4F9D-80A6-E445-B3FC-2A5C6B336D10",NA,0,6,100,215400,2000,5,0,1,0,0,5.90909090909091,2.90322580645161,3.87096774193548,5.45454545454545,3.87096774193548,4.39024390243902,10,1.99170124481328,8.57142857142857,14.0243902439024,9,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,1,0,0,64,NA,0,0,0,1
"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5","18776E1E-8C64-F047-987A-49F74B8D808E",27,"00D5DBC0-55F3-9C46-91B7-CEEB0141CAA5","18776E1E-8C64-F047-987A-49F74B8D808E",0,6,100,353000,65500,4,2,10,0,4,10.8333333333333,3.46153846153846,4.61538461538461,5.45454545454545,3.87096774193548,5.80645161290323,19.0909090909091,2.27488151658768,16.3636363636364,18.5483870967742,2,5,9,9,0,0,0,5,3,0,0,0,0,0,0,0,1,2,2,54,57,0,0,180,1
"015D90CB-26FF-A74B-8727-25D9D046530A","1171BC0A-57BF-544D-A9BD-6FCDDC194F8B",17,"1171BC0A-57BF-544D-A9BD-6FCDDC194F8B","015D90CB-26FF-A74B-8727-25D9D046530A",1,5,25,117784,25666.66667,0,0,1,0,0,5.90909090909091,2.90322580645161,1.31868131868132,3.75,7.5,2.95081967213115,3.44262295081967,1.99170124481328,11.25,35.9375,4,0,2,0,0,0,0,6,6,0,0,0,0,8400,0,1,0,0,0,57,57,0,0,0,1
"016A9229-47B8-FA48-8923-5B5942062E72","546D3E99-49A8-6E41-97FD-DADA7082B3A8",151,"546D3E99-49A8-6E41-97FD-DADA7082B3A8","016A9229-47B8-FA48-8923-5B5942062E72",1,6,100,353320,55700,0,2,6,0,0,3.0952380952381,5.625,7.5,10,10.9090909090909,30,19.0909090909091,2.65193370165746,22.5,27.3809523809524,5,14,9,14,0,0,0,8,12,0,0,0,0,900,1,1,1,2,2,59,59,0,1,30,1
"017518A6-D5AA-2C46-8729-4D48B8F0A6CE","7B51E657-9E5B-4941-BC84-DB0F741B6E1D",275,"7B51E657-9E5B-4941-BC84-DB0F741B6E1D","017518A6-D5AA-2C46-8729-4D48B8F0A6CE",1,6,100,344300,12000,0,2,8,0,0,5.90909090909091,90,0.991735537190083,2.85714285714286,3.87096774193548,2.95081967213115,6.7741935483871,2.65193370165746,8.57142857142857,18.5483870967742,16,8,0,14,1,0,0,6,6,0,1,0,0,1800,0,0,1,0,0,68,68,0,0,0,1
"0178768C-E351-7843-A226-C6984596E710","5B93AB69-4195-F94A-A75A-ECD1B271FD1F",172,"0178768C-E351-7843-A226-C6984596E710","5B93AB69-4195-F94A-A75A-ECD1B271FD1F",0,6,100,149225,2800,0,1,5,0,0,4.0625,2.90322580645161,3.87096774193548,3.75,3.87096774193548,2.95081967213115,6.7741935483871,3.17880794701987,30,18.5483870967742,32,9,10,10,1,0,0,5,10,0,0,0,0,3600,0,0,1,3,3,31,44,0,0,0,1
"01E73340-1692-CF48-AB0E-09833DEF3BEC","6749B5E5-8843-BD4B-94A5-6C5E10B0CD54",203,"6749B5E5-8843-BD4B-94A5-6C5E10B0CD54","01E73340-1692-CF48-AB0E-09833DEF3BEC",1,6,25,177875,26666.66667,1,0,6,0,0,3.0952380952381,1.47540983606557,1.9672131147541,5.45454545454545,4.61538461538461,2.95081967213115,13.125,3.17880794701987,8.57142857142857,9.42622950819672,3,0,1,0,0,1,0,1,0,0,0,0,0,600,0,1,0,0,1,47,47,0,0,40,1
"0200D07A-7E2D-4FBE-9643-3FA1D0C49874","ED522F37-A3EE-AE46-A377-9BDC3C3D09AE",677,"ED522F37-A3EE-AE46-A377-9BDC3C3D09AE","0200D07A-7E2D-4FBE-9643-3FA1D0C49874",1,6,100,670775,36600,1,1,4,0,0,3.0952380952381,15,20,15,10.9090909090909,5.80645161290323,19.0909090909091,2.27488151658768,30,95.8333333333333,20,14,9,14,0,0,0,8,7,0,1,0,0,0,1,1,1,2,2,47,47,1,0,0,1
"0202845C-7E38-0543-B03D-3E80217C7E15","B5E6E374-B841-0442-8DDC-B7C7B9C60BCC",454,"B5E6E374-B841-0442-8DDC-B7C7B9C60BCC","0202845C-7E38-0543-B03D-3E80217C7E15",1,6,100,239080,13500,0,0,3,0,0,21.6666666666667,90,1.9672131147541,10,30,2.95081967213115,2.30769230769231,1.59468438538206,30,18.5483870967742,12,3,23,1,1,1,0,1,1,0,0,0,0,900,0,1,1,1,0,36,36,0,0,0,0
"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD","77C3039A-7EC7-CF40-989F-17A41D4A62D4",263,"02DC08C6-CD1A-3B44-B93F-A3ADE85B3BDD","77C3039A-7EC7-CF40-989F-17A41D4A62D4",0,6,100,319820,60500,4,1,5,0,0,5.90909090909091,0.989010989010989,1.31868131868132,3.75,2.60869565217391,5.80645161290323,4.56521739130435,1.99170124481328,30,12.5,0,1,5,0,0,0,0,9,5,2,2,0,0,900,0,0,0,0,1,53,53,0,0,0,1
"030EA194-651A-8946-941E-206CC63BCAEB","B3E99AC9-E247-014B-B214-5F74B1D3F141",448,"030EA194-651A-8946-941E-206CC63BCAEB","B3E99AC9-E247-014B-B214-5F74B1D3F141",0,6,100,231025,40000,6,0,4,0,2,5.90909090909091,2.90322580645161,3.87096774193548,5.45454545454545,10.9090909090909,1.48760330578512,1.73553719008264,2.65193370165746,16.3636363636364,52.2727272727273,20,1,0,5,0,0,0,5,1,0,0,0,2,900,0,0,1,0,0,53,61,0,1,18,1
"03109834-AB70-5743-8083-93570FA8DAE8","61F59CD7-AB2E-7C41-BF2A-E28F35E23200",191,"03109834-AB70-5743-8083-93570FA8DAE8","61F59CD7-AB2E-7C41-BF2A-E28F35E23200",0,5,100,96900,6000,1,0,4,0,0,10.8333333333333,4.28571428571429,5.71428571428571,2.85714285714286,5.71428571428571,3.52941176470588,3.44262295081967,3.17880794701987,30,27.3809523809524,18,4,4,6,0,0,0,4,4,0,8,0,0,900,0,1,1,1,0,46,48,0,0,10,1
"03235896-F110-DC47-AD4A-9E8250B2B93D","0",3,"03235896-F110-DC47-AD4A-9E8250B2B93D",NA,0,6,75,173725,50166.66667,3,2,4,0,0,4.0625,2.90322580645161,3.87096774193548,5.45454545454545,2.60869565217391,2.95081967213115,19.0909090909091,2.65193370165746,11.25,95.8333333333333,13,4,0,0,0,0,0,10,11,0,0,NA,NA,NA,NA,NA,1,0,0,60,NA,0,0,36,1
